SPECIES SSP,CAT,Criteria
Catapyrenium squamulosum (Ach.) Breuss,DD,"A, DI"
Catapyrenium tremniascense A.Massal.,DD,DI
Catapyrenium waltheri (Kremp.) Körb.,DD,DI
Catolechia wahlenbergii (Ach.) Körb.,VU,"AB, EXP(+)"
Cetraria aculeata aggr.,LC,"AB, MM"
Cetraria cucullata (Bellardi) Ach.,LC,AB
Cetraria ericetorum Opiz,LC,"AB, MM"
Cetraria islandica (L.) Ach.,LC,"AB, MM"
Cetraria nivalis (L.) Ach.,LC,"AB, MM"
Cetraria tubulosa (Schaer.) Zopf,NT,"AB, MM"
Chromatochlamys muscorum (Fr.) H.Mayrhofer & Poelt,DD,"AB, DI"
Cladonia acuminata (Ach.) Norrl.,VU,"AB, EXP(+)"
Cladonia amaurocraea (Flörke) Schaer.,LC,AB
Cladonia arbuscula aggr.,LC,"AB, MM"
Cladonia bellidiflora (Ach.) Schaer.,LC,AB
Cladonia borealis S.Stenroos,LC,"AB, MM"
Cladonia caespiticia (Pers.) Flörke,VU,"AB, MM"
Cladonia cariosa (Ach.) Spreng,VU,"AB, RH"
Cladonia carneola (Fr.) Fr.,LC,"AB, MM"
Cladonia cervicornis (Ach.) Flot.,VU,"AB, MM"
Cladonia chlorophaea aggr.,LC,AB
Cladonia ciliata Stirt.,EN,"B, MM"
Diplotomma sp. 1,DD,"B, DI"
Endocarpon adscendens (Anzi) Müll.Arg.,NT,"AB, MM"
Endocarpon pusillum Hedwig,NT,"AB, MM"
Epilichen scabrosus (Ach.) Clements,LC,A
Evernia perfragilis Llano,LC,AB
Frutidella caesioatra (Schaer.) Kalb.,DD,DI
Fulgensia bracteata (Hoffm.) Räsänen s.l.,LC,"AB, MM"
Fulgensia desertorum (Tomin) Poelt,VU,"B, EXP(+)"
Fulgensia fulgens (Swartz) Elenkin,VU,"AB, MM"
Fulgensia schistidii (Anzi) Poelt,LC,AB
Fulgensia subbracteata (Nyl.) Poelt,EN,"AB, MM"
Fuscopannaria praetermissa (Nyl.) M.Jørg.,LC,"AB, MM"
Gomphillus calycioides (Duby) Nyl.,RE,"R0, SP+, 60-"
Gyalecta foveolaris (Ach.) Schaer.,VU,"B, EXP(+)"
Gyalecta geoica (Wahlenb.) Ach.,DD,"R0, SP-"
Gyalecta peziza (Mont.) Anzi,EN,"RO, SP+, 60+, PVI"
Halecania lecanorina (Anzi) M.Mayrhofer & Poelt,DD,DI
Heppia adglutinata (Kremp.) A.Massal.,VU,"AB, EXP(+)"
Heppia lutosa (Ach.) Nyl.,RE,"R0, SP+, 60-"
Lecanora epibryon (Ach.) Ach.,LC,AB
Lecanora leptacina Sommerf.,EN,"R0, 60+, SP+, PVI"
Lecanora leptacinella Harm.,DD,DI
«Lecidea» alpestris Sommerf.,DD,DI
«Lecidea» diapensiae Th.Fr.,DD,DI
«Lecidea» ileiformis Fr.,DD,DI
«Lecidea» limosa Ach.,DD,DI
«Lecidea» lurida Ach.,NT,"AB, MM"
Lecidella wulfenii (Hepp) Körb.,DD,DI
Lecidoma demissum (Rutström) Goth.Schneider & Hertel,LC,"AB, MM"
Lempholemma chalazanum (Ach.) de Lesd.,DD,DI
Lempholemma polyanthes (Bernh.) Malme,DD,DI
Leprocaulon microscopicum (Vill.) Gams,VU,"AB, MM"
Leptochidium albociliatum (Desm.) M. Choisy,VU,"AB, MM"
Leptogium gelatinosum (With.) J.R.Laundon,LC,AB
Leptogium imbricatum M.Jørg.,LC,AB
Leptogium intermedium (Arnold) Arnold,NT,"AB, MM"
Leptogium lichenoides (L.) Zahlbr.,LC,"AB, MM"
Leptogium subtile (Schrad.) Torss.,LC,AB
Leptogium turgidum (Ach.) Crombie,LC,A
Lobaria linita (Ach.) Rabenh.,LC,AB
Lopadium pezizoideum (Ach.) Körb.,LC,A
Massalongia carnosa (Dicks.) Körb.,CR,"AB, MM"
Micarea crassipes (Th.Fr.) Coppins,DD,DI
Moelleropsis humida (Kullh.) Coppins & M.Jørg.,DD,DI
Moelleropsis nebulosa (Hoffm.) Gyeln.,VU,"AB, EXP(+)"
«Mycobilimbia» berengeriana (A.Massal.) Haffelner & V.Wirth,DD,DI
«Mycobilimbia» hypnorum (Lib.) Kalb & Haffelner,LC,AB
«Mycobilimbia» tetramera (De Not.) Hafellner & Türk,DD,DI
Nephroma expallidum (Nyl.) Nyl.,VU,"B, EXP(+)"
Rinodina intermedia Bagl.,RE,"R0, SP+, 60-"
Rinodina laxa H.Magn.,RE,"R0, SP+, 60-"
Rinodina mniarea (Ach.) Körb. s.l.,NT,"AB, MM"
Rinodina mucronatula H.Magn.,VU,A
Rinodina olivaceobrunnea Dodge & Baker,NT,B
Rinodina roscida (Sommerf.) Arnold,NT,B
Rinodina turfacea (Wahlenb.) Körb.,LC,AB
Santessoniella arctophila (ThFr.) Henssen,NT,B
Sarcosagium campestre (Fr.) Poetsch & Schied.,DD,DI
Schadonia fecunda (Th.Fr.) Vĕzda & Poelt,DD,DI
Solorina bispora Nyl.,LC,"AB, MM"
Solorina crocea (L.) Ach.,LC,AB
Solorina octospora (Arnold) Arnold,LC,AB
Solorina saccata (L.) Ach.,LC,"AB, MM"
Solorina spongiosa (Ach.) Anzi,LC,AB
Solorinella asteriscus Anzi,EN,"AB, MM"
Squamarina cartilaginea (With.) N.James,NT,"AB, MM"
Squamarina lentigera (Weber) Poelt,VU,"AB, RH"
Staurothele geoica Zschacke,DD,DI
Stereocaulon alpinum Laurer,LC,"A B, MM"
Stereocaulon capitellatum H.Magn.,VU,"B, EXP(+)"
Stereocaulon glareosum (Savicz) H.Magn.,CR,"RO, SP+, 60+, VI"
Stereocaulon incrustatum Flörke,CR,"AB, MM"
Stereocaulon rivulorum H.Magn.,VU,"AB, EXP(+)"
Stereocaulon tomentosum Fr.,RE,"RO, SP+, 60-"
Strigula sychnogonoides (Nitschke) R.C.Harris,DD,DI
Thamnolia vermicularis (Swartz) Schaer. s. l.,LC,"AB, MM"
Thelenidia monosporella Nyl.,RE,"A0B0, SP+, 60-"
Thelidium zwackhii (Hepp) A.Massal.,DD,"B, DI"
Thelocarpon imperceptum (Nyl.) Mig.,RE,"A0B0, SP+, 60-"
Thelopsis melathelia Nyl.,DD,DI
Thrombium epigaeum (Pers.) Wallr.,DD,"AB, MM, DI"
Thrombium smaragdulum Körb.,DD,"60-, SP+, DI"
Toninia albilabra (Dufour) H.Olivier,LC,AB
Toninia alutacea (Anzi) Jatta,DD,DI
Toninia coelestina (Anzi) Vĕzda,VU,"B, EXP"
"""Toninia"" lobulata (Sommerf.) Lynge",LC,AB
Toninia lutosa (Ach.) Timdal,RE,"R0, SP+, 60-"
Toninia opuntioides (Vill.) Timdal,VU,"RO, EXP(+)"
Toninia physaroides (Opiz) Zahlbr.,VU,"AB, MM"
Toninia rosulata (Anzi) H.Olivier,LC,AB
Toninia sedifolia (Scop.) Timdal,LC,"AB, MM"
Toninia squalida (Ach.) A.Massal.,LC,AB
Toninia taurica (Szatala) Oxner,NT,"AB, MM"
Toninia tristis (Th.Fr.) Th.Fr. s. l.,VU,"RO, EXP(+)"
Trapeliopsis gelatinosa (Flörke) Coppins & N.James,LC,AB
Trapeliopsis pseudogranulosa Coppins & N.James,LC,A
