Scientific Name,deutscher name,CAT,Criteria,NHV,Bemerkungen
Aleurocystidiellum subcruentatum (Berk. et M.A.Curtis) P.A. Lemke,Skelettzystiden-Mehlscheibenpilz,CR,D1,,
Aleurodiscus amorphus (Pers.: Fr.) J. Schroet.,Orangefarbene Mehlscheibe,VU,B1ab(iv),,
Aleurodiscus aurantius (Pers.: Fr.) J. Schroet.,goldorange Mehlscheibe,VU,D1,,
Amanita beckeri Huijsman,Hellflockiger Scheidenstreifling,EN,B1ab(iii)+D1,,im Laubwald
Amanita caesarea (Scop.: Fr.) Pers.,Kaiserling,VU,"B1ab(ii,iii,iv)+B2ab(iii)",,
Amanita eliae Quel.,Kammrandiger Wulstling,VU,B1ab(iii),,
Amanita franchetii (Boud.) Fayod,Rauher Wulstling,VU,"B1ab(iii,iv)",,
Amanita friabilis (P. Karst.) Bas,Erlen-Scheidenstreifling,EN,"B1ab(iii,iv)",,Grauerlenwald
Amanita gemmata (Fr.) Bertillon,Narzissengelber Wulstling,NT,,,
Amanita lividopallescens (Gillet) Seyot,Ockergrauer Scheidenstreifling,VU,B1ab(iii)+B2ab(ii),,
Amanita magnivolvata Aalton,Grossscheidiger Scheidenstreifling,VU,B1ab(iii)+B2ab(iii),,nur in Westschweiz!
Amanita mairei Foley,Silberweißer Scheidenstreifling,NT,,,
Amanita nivalis Grev.,Alpiner Scheidenstreifling,VU,D1,,alpine Art
Amanita pachyvolvata (Bon) Krieglsteiner,Dickscheidiger Wulstling,VU,D1,,
Amanita solitaria (Bull.:Fr.) Merat,Stachelschuppiger Wulstling,VU,B1ab(iii),,
Amanita verna (Bull.) Pers.,Frühlings-Knollenblätterpilz,VU,"B1ab(iii,iv)+B2ab(iii,iv)",,
Amyloporiella crassa (P. Karst.) A. David et Tortic,Dickliche Braunfäuletramete,EN,B1ab(iv)+B2ab(iv)+D2,,keine rezente Funde!
Amylostereum laevigatum (Fr.: Fr.) Boidin,Wacholder-Schichtpilz,VU,B1ab(iv),,
Anellaria phalaenarum Bull.: Fr.,Schmieriger Düngerling,NT,,,
Anthracobia maurilabra (Cooke) Boud.,Düsterer Brandstellenbecherling,NT,,,
Antrodia albida (Fr.:Fr.) Donk,Weißliche Tramete,VU,B1ab(iv),,
Antrodia lenis (Karst.) Ryvarden,Rosafleckende Braunfäuletramete,EN,D1,,
Antrodia malicola (Berk. et M.A. Curtis) Donk,Apfelbaum-Resupinatporling,EN,B1ab(iv),,
Antrodia ramentacea (Berk. et Broome) Donk,Knospen-Tramete,EN,B1ab(iv)+B2ab(iv),,
Antrodia sinuosa (Fr.: Fr.) P. Karst.,Wellige Braunfäule-Tramete,EN,B1ab(iv)+B2ab(iv),,
Antrodiella semisupina (Berk. et M.A. Curtis) Ryvarden et I. Johans.,Knorpelige Tramete,VU,B1ab(iv)+B2ab(iv),,
Arcangeliella borziana Cavara,Braunrote Milchtrüffel,NT,,,
Arcangeliella stephensii (Berk.) Zeller et B.O. Dodge,Fastgestielte Milchtrüffel,VU,D1,,
Armillaria ectypa (Fr.: Fr.) Lamoure,Moor-Hallimasch,RE,,,letzte Fundmeldung 1935
Arrhenia retirugis (Bull.: Fr.) Redhead,Netziger Adermoosling,NT,,,
Arrhenia roseola (Quel.) Senn-Irlet,Rosa-Adermoosling,EN,D1,,im Weidegebiet an Erdanrissen
Ascozonus woolhopensis (Berk. et Broome) Boud.,Dung-Haarbecherchen,VU,D1,,
Asterostroma cervicolor (Berk. et M.A. Curtis) Massee,Ockerfarbener Sternsetenpilz,VU,D2,,
Asterostroma laxum Bres.,Glattsporiger Sternsetenpilz,EN,D1,,
Astraeus hygrometricus (Pers.) Morgan,Wetterstern,VU,D1,,eine Art der Südschweiz
Aurantioporus fissilis (Berk. et M.A. Curtis) H. Jahn,Apfelbaum-Weichporling,VU,"B1ab(iii,iv)+C2a(i)",,
Bankera fuligineoalba (Schmidt: Fr.) Pouzar,Schmutziger Stacheling,EN,"B1ab(iii,iv)",,bei Föhren
Bankera violascens (Alb. et Schwein.: Fr.) Pouzar,Violettlicher Stacheling,VU,B1ab(iii)+D1,,
Basidiodendron cinereum (Bres.) Luck-Allen,graue Wachsrinde,VU,D1,,
Biscogniauxia marginata (Fr.: Fr.) Pouz,Berandeter Rindenkugelpilz,VU,Bab(iii) + D1,,an Holz von Mehlbeeren (Sorbus)
Boidinia furfuracea (Bres.) Stalpers et Hjortstam,Kleiiger Gloeozystidenrindenpilz,VU,D1,,
Boidinia subasperisporum (Litsch.) Juelich,feinwarziger Flockenschwamm,VU,D1,,
Bolbitius pluteoides M.M.Moser,Dachpilzartiger Mistpilz,EN,B1ab(iv)+D1,,adventiv?
Boletopsis grisea (Peck) Bondartsev et Singer,Bitterer Russporling,EN,B1ab(iv),,"vor allem in den Südalpen, bis in die subalpine Stufe"
Boletopsis leucomelaena (Pers.) Fayod,Grauer Rußporling,NT,,,
Boletus aereus Bull.: Fr.,Bronze-Röhrling,VU,B1ab(iii)+D1,,
Boletus depilatus G. Redeuilh,Gefleckthütiger Röhrling,NT,,,
Boletus dupainii Boud.,Dupains Hexenröhrling,EN,B1ab(iii)+D1,,bei Eichen
Boletus fechtneri Velen.,"Sommer-Röhrling, Silber-Röhrling",VU,"B1ab(iii,iv)",,
Boletus impolitus Fr.,Fahler Röhrling,VU,"B1ab(iii,iv)+D1",,
Boletus junquilleus (Quel.) Boud.,Zweifarbiger Hexenröhrling,EN,"B1ab/(iii,iv)",,
Boletus pseudoregius Hubert ex Estades,Blauender Königsröhrling,EN,"B1ab(iii,iv)+D1",,bei Eichen und Buchen
Boletus queletii Schulz.,Glattstieliger Hexenröhrling,VU,B1ab(iii),,
Boletus regius Krombh.,Königs-Röhrling,EN,"B1ab(iii,iv)+D1",§CH,"bei Eichen, Buchen und Kasta-
nien"
Boletus rhodopurpureus Smotl.,Weinroter Röhrling,VU,B1ab(iii)+D1,,wieso nicht im Mittelland?
Boletus rhodoxanthus (Krombh.) Kallenb.,Rosahütiger Purpur-Röhrling,VU,C2a(i),,
,,Kat.,Kriterien IUCN,NHV,Bemerkungen
Boletus splendidus G.W. Martin,Mosers Satansröhrling,NT,,,"eher seltene Art, aber verbreitet"
"Boletus subappendiculatus Dermek et Lazebn. et
Ves.",Falscher Anhängselröhrling,NT,,,"seltene Art, wenig Individuen"
Boletus torosus Fr.,Ochsen-Röhrling,EN,"B1ab(iii,iv)",,bei Buchen
Bondarzewia mesenterica (Schaeff.) Kreisel,Bergporling,NT,,,
Botryotinia calthae Hennebert et Elliot ap. Hennebert et Groves,Sumpfdotterblumen-Becherling,EN,D1,,an Sumpfdotterblumen
Botryotinia ranunculi Hennebert et Groves,Hahnenfuß-Sklerotienbecherling,EN,D1,,
Bovista limosa Rostr.,Kleinster Bovist,EN,"B1ab(iii,iv)",,sandig-kiesiger Boden
Bovista paludosa Lev.,Moor-Bovist,EN,B1ab(iii),,"Hoch- und Flachmoore, Bachränder"
Bovista pusilla (Batsch: Pers.) Pers.,Zwerg-Bovist,EN,B1ab(iv),,"sandige, offene Standorte"
Bovista tomentosa (Vittad.) Quel.,Filziger Bovist,EN,"B1ab(ii,iii,iv)",,"sandig-offene Standorte, Trockenrasen und Gletschervorfelder"
Byssonectria fusispora (Berk.) Rogerson et Korf,Spindelsporiger Becherling,NT,,,auch an Brandstellen
Byssonectria terrestris (Alb. et Schwein.: Fr.) Pfister,Erdbewohnender Filzpustelpilz,EN,D1,,übersehen?
Calocybe obscurissima (Pearson) M.M. Moser,Umberbrauner Schönkopf,VU,D1,,
Calocybe onychina (Fr.) Donk,Purpurbrauner Schönkopf,VU,D1,,
Caloscypha fulgens (Pers.) Boud.,Leuchtender Prachtbecher,VU,B1ab(iv),,Frühjahrespilz
Calycellina ulmariae (Lasch in Rabh.) Korf,Spierstauden-Kurzhaarbecher,NT,,,
Camarophyllopsis atropuncta (Pers.: Fr.) Arnolds,Punktiertstieliger Samtschneckling,CR,D1,,
Camarophyllopsis foetens (W. Phillips) Arnolds,Stinkender Samtschneckling,CR,D1,,
Camarophyllopsis micacea (Berk. et Broome) Arnolds,Goldbrauner Samtschneckling,CR,D1,,
Camarophyllopsis phaeophylla (Romagn.) Arnolds,Braunblättriger Samtschneckling,CR,D1,,
Camarophyllopsis schulzeri (Bres.) Herink,Graubrauner Samtschneckling,CR,D1,,
Camarophyllus berkeleyianus Clemencon,Blasser Wiesenellerling,EN,D1,,Grasland
Camarophyllus cinereus (Fr.) Karst.,Ganzgrauer Ellerling,EN,B1ab(iii),,Grasland
Camarophyllus flavipes (Britzelm.) Clemencon,Gelbfüßiger Ellerling,VU,D2,,
Camarophyllus fuscescens (Bres.) M.M.Moser,Bräunlicher Ellerling,VU,"B1ab(iii,iv)",,"Grasland, aus dem Mittelland verschwunden"
Camarophyllus lacmus (Schum.) J.E. Lange,Gelbfüssiger Ellerling,VU,B1ab(iv),,
Camarophyllus russocoriaceus (Berk. et Mill.) J.E. Lange,Juchten-Ellerling,VU,B1ab(iv),,Grasland
Candelabrochaete septocystidia (Burt) Burds.,Kandelaber-Septozystidenpilz,EN,D1,,"nur aus dem Tessin bekannt, an Linden- und Weidenholz"
Cantharellula umbonata (Gmel.: Fr.) Singer,Rötender Gabeling,VU,D1,,"subalpine Stufe, Voralpen"
Cantharellus ianthinoxanthus Maire,Schwärzender Pfifferling,EN,D1,,Buchenwald
Cantharellus melanoxeros Desm.,Schwärzender Pfifferling,VU,B1ab(iii),,
Ceraceomyces sublaevis (Bres.) Juelich,Kleinsporiger Wachsrindenpilz,NT,,,
Ceriporiopsis gilvescens (Bres.) Domanski,Fleckender Harzporling,EN,D1,,Laubholz
Ceriporiopsis resinascens (Romell) Domanski,Harziger Wachs-Porling,EN,D1,,Laubholz
Chalciporus pseudorubinus (Thirring) Pilat et Dermek,Kleinster Zwergröhrling,CR,D1,,
Chamonixia caespitosa (Rolland) Fischer,Blaunuß,EN,D1,,im Fichtenwald
Cheilymenia theleboloides (Alb. et Schwein.: Fr.) Boud.,Blaßgelber Erdborstling,VU,B1ab(iv)+D1,,
Cheilymenia vitellina (Pers.) Dennis,Dottergelber Erdborstling,VU,D1,,
Choiromyces maeandriformis Vittad.,Weiße Mäandertrüffel,NT,,,
Ciboria viridifusca (Fuckel) Hoehn.,Erlenzäpfchen-Becherling,EN,D1,,an Erlenzäpfchen
Claussenomyces prasinulus (P.Karsten) Korf et Abawi,Lauchgrünes Gallertbecherchen,NT,,,
Clavaria argillacea Pers.: Fr.,Gelbstielige Keule,EN,D1,,"«auf Heideböden», Standorte vom Verschwinden bedroht"
Clavaria candida Weinm. (ss. Quel.),Sternsporige Keule,EN,D1,,wohl öfters mit C. asterospora = C. falcata verwechselt
Clavaria fumosa Fr.,Rauchgraue Keule,EN,"B1ab(iii,iv)",,
Clavaria incarnata Weinm.,Fleischfarbene Keule,EN,D1,,Grasland und grasige Wälder
Clavaria rosea Fr.,Rosafarbige Koralle,CR,D1,,
Clavaria zollingeri Lev.,Zollingscher Korallenpilz,EN,"B1ab(ii,iii)",§CH,Grasland
Clavicorona pyxidata (Pers.: Fr.) Doty,Becherkoralle,VU,D1,,
Clavulicium macounii (Burt) J. Erikss. et Boidin,Macouns Rindenpilz,EN,D1,,an Nadelholz
Clavulina amethystina (Fr.) Donk,Violette Koralle,EN,B1ab(iv),,Grasland und grasiger Wald
Clavulinopsis corniculata (Schaeff.: Fr.) Corner,Gelbe Wiesenkoralle,NT,,,Grasland-Art!
Clavulinopsis fusiformis (Sowerby: Fr.) Corner,Spindelförmige Wiesenkeule,VU,"B1ab(iii,iv)",,"Voralpenpilz, früher wohl häufiger"
Clavulinopsis helveola (Pers.: Fr.) Corner,Goldgelbe Wiesenkeule,NT,,,
Clavulinopsis luteoalba (Rea) Corner,Gelbweisses Keulchen,EN,D1,,Feuchtwiesen
Clitocybe barbularum (Romagn.) P.D. Orton,Dünen-Nabeling,EN,"B1ab(ii,iii)",,sandige Trockenrasen
Clitocybe bresadolana Singer (non ss. Einhell.),Heidetrichterling,VU,B1ab(iii),,auch alpine Art
Clitocybe collina (Velen.) Klan,Hügel-Trichterling,CR,D1,,Trockenrasenart
Clitocybe elegantula J. Favre,Eleganter Trichterling,EN,D1,,
"Clitocybe ericetorum (Bull.: Fr.) Quel. ss. Bres., J.E. Lange",Heide-Trichterling,EN,"B1ab(iii,iv)",,Grasland
Clitocybe favrei Kuehner et Romagn.,Favre’ Trichterling,EN,D1,,in Hochmooren
Clitocybe festiva J. Favre,Wachsbleicher Trichterling,VU,D1,,alpine Art
Clitocybe fuligineipes Metrod,Starrer Trichterling,VU,D1,,
Clitocybe glareosa Roellin et Monthoux,Kiesliebender Trichterling,EN,"B1ab(ii,iii)",,in Trockenrasen
Clitocybe lateritia J. Favre,Ziegelroter Trichterling,EN,D1,,"alpin, auf Kalkböden"
Clitocybe lituus (Fr.) Metrod,Faserstieliger Trichterling,EN,D1,,
Clitocybe marginella Harmaja,Zweifarbiger Trichterling,VU,D1,,
Clitocybe martiorum J. Favre,Fälblings-Rötelritterling,EN,D1,,typische Art des Mittellandes
Clitocybe maxima (Fl.Wett.ex Fr.) P. Kumm.,Riesen-Trichterling,VU,B1ab(iv)+B2ab(iv),,
Clitocybe pseudoobbata (J.E. Lange) Kuyper,Graubräunlicher Trichterling,EN,"B1ab(ii,iii)",,sandige Böden
Clitocybe subsalmonea Lamoure,Rosabrauner Trichterling,VU,D2,,
Clitocybe truncicola (Peck.) Sacc.,Weisser Holz-Trichterling,EN,D1,,an Laubholz
Clitocybe tuba (Fr.) Gillet ss.Ricken,Trompeten-Trichterling,EN,D1,,
Collybia acervata (Fr.: Fr.) P. Kumm,Rotstieliger Rübling,NT,,,
Collybia fodiens (Kalchbr.) J. Favre,Durchbohrter Rübling,VU,D1,,Eventuell verkannt
Collybia hybrida (Kuehner et Romagn.) Svrcek et Kubicka,Zimtbrauner Rübling,VU,D1,,selten
Collybia nivalis (Luethi et Plomb) M.M. Moser,Schneerübling,EN,D1,,Frühlingspilz
Collybia oreadoides (Passer.) P.D. Orton,Heller Büschel-Rübling,VU,D1,,
Collybia prolixa (Hornem.: Fr.) Gillet (non ss.Ricken),Kerbblättriger Rübling,VU,D1,,unter Erlen
Conocybe antipus (Lasch) Kuehner,Spindeliges Samthäubchen,VU,D1,,"gedüngte Standorte, Kompost, selten"
Conocybe aurea (J.Schff.) Kuehner,Gold-Samthäubchen,VU,D1,,"humus- und nährstoffreiche Stellen, Fettwiesen"
Conocybe intrusa (Peck) Singer,Ansehnliches Samthäubchen,VU,D1,,Winter bis Frühjahr
Conocybe moseri Watling,Grauschwärzliches Samthäubchen,NT,,,
Coprinus echinosporus Buller,Warzigsporiger Tintling,VU,D1,,
Coprinus latisporus P.D. Orton,Schneeweißes Breitsportintling,VU,D1,,"Kuhdung und Pferdedung, im Alpenraum"
Coprinus martinii J. Favre ex P.D. Orton,Viersporiger Kalyptrat-Tintling,CR,D1,,
Coprinus narcoticus (Batsch: Fr.) Fr.,Narkotischer Tintling,VU,B1ab(iv),,im Mittelland
Coprinus phaeosporus P. Karst. (non ss. J.E. Lange),Dunkelsporiger Tintling,CR,A2a,,letzter Fund 1988
Coprinus radians (Desm.) Fr.,Strahlfüßiger Tintling,NT,,,Abnahme?
Coprinus truncorum (Scop.) Fr.ss.Romagn.,Weiden-Tintling,VU,D1,,
Cordyceps michiganensis Mains,amerikanische Kernkeule,CR,D1,,
Cordyceps sphecocephala (Klotzsch ex Berk.) Berk. et M.A. Curtis,Wespen-Kernkeule,EN,D1,,auf toten Wespen
Cortinarius allutus (Secr.) Fr.,Bereifter Schleimkopf,VU,"B1ab(iii,iv)",,
Cortinarius amurceus Fr.ex Fr.,Ockergelber Schleimkopf,NT,,,
Cortinarius arcuatorum R. Hry,Violettgesäumter Klumpfuß,EN,B1ab(iii),,
Cortinarius argutus Fr. ss.Ricken,Spitzbasiger Dickfuß,EN,D1,,Voralpen-Pilz
Cortinarius armillatus (Fr.: Fr.) Fr.,Geschmückter Gürtelfuß,VU,D1,,nährstoffarmes Habitat
Cortinarius arquatus (Fr.) Fr.,Gelbbescheideter Klumpfuß,EN,"B1ab(iii,iv)",,Fichtenwald
Cortinarius atrovirens Kalchbr.,Schwarzgrüner Klumpfuß,NT,,,Lebensraum Weisstanne
Cortinarius aureofulvus M.M. Moser,Goldbrauner Klumpfuss,EN,D1,,"wenige Individuen, nach 1990 lediglich zwei Wiederfunde!"
Cortinarius aureopulverulentus M.M. Moser,Goldstaub-Klumpfuß,CR,D1,,
Cortinarius avellaneocoeruleus (M.M. Moser) M.M. Moser,Haselnussbrauner Klumpfuss,CR,D1,,
Cortinarius azureovelatus P.D. Orton,Blauberandeter Seidenkopf,EN,B1ab(iii),,
Cortinarius azureus Fr.,Violettblauer Dickfuß,VU,"B1ab(iii,iv)",,
Cortinarius balteatoalbus R. Hry,Feinfilziger Schleimkopf,EN,D1,,im Nadelwald
Cortinarius balteatocumatilis (R. Hry) ex P.D. Orton,Braunvioletter Schleimkopf,EN,B1ab(iii),,
Cortinarius betulinus J. Favre,Schmächtiger Birken-Schleimfuss,VU,B1ab(iv),,Moorwald
Cortinarius bulbosus (Sowerby: Fr.) Fr.,Knolliger Gürtelfuß,VU,D1,,
Cortinarius caerulescentium R. Hry,Weissockerlicher Klumpfuss,EN,B1ab(iii)+B2ab(iii),,
Cortinarius caesiocanescens M.M. Moser,Grauer Klumpfuss,VU,B1ab(iii)+B2ab(iii),,
Cortinarius caesiocortinatus Jul. Schaeff.,Rundsporiger Klumpfuß,CR,B1ab(iii)+D1,,
Cortinarius caesiocyaneus Britzelm.,Violettlicher Klumpfuss,EN,B2ab(iii)+B1ab(iii),,Buchenwaldart
Cortinarius caesiostramineus R. Hry,Bitterlicher Klumpfuss,EN,B1ab(iii)+D1,,Buchenwaldart
Cortinarius causticus Fr.,Bereifter Schleimfuß,VU,B1ab(iii),,
Cortinarius cephalixus Fr.,Körnigrauher Schleimkopf,VU,B1a(iii),,
Cortinarius cereifolius (M.M. Moser) M.M. Moser,Wachsblättriger Klumpfuss,NT,,,
Cortinarius cinnabarinus Fr.,Zinnoberroter Hautkopf,VU,"B1ab(iii,iv)",,
Cortinarius citrinoolivaceus M.M. Moser,Zitronenoliver Klumpfuss,VU,C2a(i),,
Cortinarius citrinus J.E. Lange ex P.D. Orton,Zitronengelber Klumpfuß,VU,B1ab(iii)+2ab(iii),,
Cortinarius cliduchus Fr.,Gelbgegürtelter Schleimkopf,VU,B1ab(iii),,
Cortinarius corrosus Fr.,Vergrabener Klumpfuß,EN,B1ab(iii),,
Cortinarius cotoneus Fr.,Olivbrauner Rauhkopf,VU,"B1ab(iii,iv)",,Wieso fehlen Funde aus dem Mittelland?
"Cortinarius crassus Fr. non Lge, Bres.",Trockener Seidenkopf,EN,B2ab(iv)+B1ab(iv); C2a(i),,Mittellandpopulation für B(iii) nicht berücksichtigt
Cortinarius croceocoeruleus (Pers.: Fr.) Fr.,Safranblauer Schleimfuß,VU,"B1ab(iii,iv)",,
Cortinarius croceoconus Fr.,Spitzgebuckelter Safran-Hautkopf,VU,D1,,
Cortinarius cumatilis Fr.,Taubenblauer Schleimkopf,VU,B1ab(iii)),,
Cortinarius cyaneus (Bres.) M.M. Moser,Dunkelblauer Schleimkopf,VU,"B1ab(iii,iv)",,Laubwald (Jura)
Cortinarius cyanites Fr.,Rötender Dickfuß,VU,D1,,
Cortinarius dibaphus Fr.,Bunter Klumpfuss,EN,B1ab(iii),,
Cortinarius elegantissimus Rob. Henry,Prächtiger Klumpfuß,VU,B1ab(iii),,Buchenwaldart
Cortinarius emollitus Fr.,Weichstieliger Schleimfuss,VU,D2,,
Cortinarius fulmineus (Fr.) Fr.,Fuchsiger Klumpfuß,VU,"B1ab(iii,iv)",,
Cortinarius glandicolor Fr.,Schwarzbrauner Gürtelfuß,EN,D1,,
Cortinarius guttatus R. Hry,Getropfter Klumpfuß,EN,B1ab(iii)+D1,,
Cortinarius haematochelis (Bull. ex Fr.) Fr.,Pupurroter Gürtelfuss,VU,D1,,
Cortinarius herpeticus Fr.,Grünvioletter Klumpfuß,VU,"B1ab(iii,iv)",,
Cortinarius humicola (Quel.) Maire,Sparriger Rauhkopf,VU,"B1ab(iii,iv)",,
Cortinarius largus Fr.,Blasser Schleimkopf,VU,B1ab(iii),,
Cortinarius lignicolus Bidaud,Holzbewohnender Rauhkopf,VU,D1,,
Cortinarius lividoochraceus (Berk.) Berk.,Langstieliger Schleimfuß,NT,,,
Cortinarius lividoviolaceus R. Hry,Langstieliger Schleimkopf,VU,B1ab(iii),,
Cortinarius mairei (M.M. Moser) M.M. Moser,Riechender Klumpfuss,EN,D1,,
Cortinarius malachioides P.D. Orton,Hygrophaner Dickfuss,EN,B1ab(iv),,
Cortinarius miniatopus J.E. Lange,Rotfüssiger Gürtelfuss,EN,D1,,
Cortinarius moenne-loccozii Bidaud 1993,Scheiden-Klumpfuss,EN,B1ab(iii)+D1,,
Cortinarius mucifluus Fr. (non al.),Kiefern-Schleimfuss,NT,,,
Cortinarius nemorensis (Fr.) J.E. Lange,Verfärbender Schleimkopf,NT,,,
Cortinarius olidus J.E. Lange,Gelbgegürtelter Schleimkopf,NT,,,
Cortinarius orellanus (Fr.) Fr.,Orangefuchsiger Rauhkopf,NT,,,
Cortinarius paracephalixus Bohus,Rötender Schleimkopf,VU,D2,,
Cortinarius phoeniceus Maire,Rotgenatterter Hautkopf,EN,"B1ab(iii,iv)",,Vor allem im Tessin
Cortinarius pholideus (Fr.:Fr.) Fr.,Braunschuppiger Dickfuß,VU,B1ab(iv),,
Cortinarius phrygianus (Fr.) Fr.,Hallimasch-Rauhkopf,CR,D1,,letzte Fundmeldung 1972
Cortinarius porphyropus (Alb. et Schwein.) Fr.,Purpurfüßiger Schleimkopf,VU,B1ab(iii),,
Cortinarius prasinus Fr. ss.K. et M.,Lauchgrüner Klumpfuss,EN,"B1ab(iii,iv)+C2a(i)",,
Cortinarius psammocephalus Fr.,Kleiigschuppiger Gürtelfuß,EN,D1,,
Cortinarius pseudocyanites R. Hry,Kaumrötender Dickfuss,EN,"B1ab(iii,iv)",,
Cortinarius pseudoglaucopus (Jul. Schaeff. ex M.M. Moser) Quadr.,Violettgerandeter Klumpfuss,VU,"B2(ii,iii)",,Föhrenwald
Cortinarius pseudosulphureus R. Hry ex P.D. Orton,Grünlings-Klumpfuß,VU,"B1ab(iii,iv)+D1",,
Cortinarius pumilus (Fr.) J.E. Lange,Zwergenhafter Schleimfuss,EN,B1ab(iii)+D1,,
Cortinarius rapaceus Fr.,Tonblasser Klumpfuß,EN,"B1ab(iii,iv)+C2a(i)",,
Cortinarius raphanoides (Pers.: Fr.) Fr.,Rettich-Rauhkopf,EN,D1,,seltener Birken-Begleiter
Cortinarius rheubarbarinus R. Hry,Rhabarber-Wasserkopf,NT,,,
Cortinarius rufoolivaceus (Pers.: Fr.) Fr.,Violettroter Klumpfuß,VU,B1ab(iii),,
Cortinarius saniosus (Fr.) Fr.,Gelbgeschmückter Gürtelfuß,EN,B1ab(iv),,
Cortinarius saporatus Britzelm.,Ockergelber Klumpfuß,EN,D1,,
Cortinarius schaefferi Bres.,Hainbuchen-Hautkopf,NT,,,
Cortinarius scutulatus Fr.,Violetter Rettich-Gürtelfuß,VU,"B1ab(iii,iv)",,Moore
Cortinarius sebaceus Fr.,Rasiger Schleimkopf,VU,"B1ab(iii,iv)+C2a(i)",,kein subalpiner Fichtenwaldpilz
Cortinarius sodagnitus R. Hry,Violetter Klumpfuß,VU,B1ab(iii),,
Cortinarius solis-occasus Melot,Abendrot-Gürtelfuss,NT,,,
Cortinarius spadiceus (Batsch) Fr.,Brauner Schleimkopf,EN,D1,,
Cortinarius subannulatus Jul. Schaeff. et M.M. Moser apud M.M. Moser,Fastberingter Rauhkopf,EN,D1,,wohl schwierige Identfikation
Cortinarius subferrugineus (Batsch: Fr.) Fr.,Rostbräunlicher Wasserkopf,EN,"B1ab(iii,iv)",,
Cortinarius subporphyropus Pilat,Graublauer Zwerg-Schleimkopf,EN,B2ab(iii),,
Cortinarius subpurpurascens (Batsch) Kickx,Falscher Purpur-Klumpfuss,CR,A2ac,,Letzte Fundmeldung 1940
Cortinarius suillus Fr. ss. J.E. Lange,Schweins-Dickfuss,NT,,,Laubwaldart auf Kalk
Cortinarius talus Fr.,Falbblättriger Klumpfuß,EN,D1,,Wald-Sonderstandorte
Cortinarius tophaceus (Fr.: Fr.) Fr.,Goldfuchsiger Rauhkopf,EN,D1,,
Cortinarius triumphans (Fr.) Fr.,Birken-Schleimkopf,VU,B1ab(iii),,"Moore, moorige Wälder, Heiden"
Cortinarius trivialis J.E. Lange,Natternstieliger Schleimfuß,NT,,,
Cortinarius tubarius Ammirati et A.H. Sm.,Torfmoos-Hautkopf,NT,,,
Cortinarius turmalis Fr.,Rasiger Seidenkopf,EN,D1,,
Cortinarius uliginosus Berk.,Kupferroter Hautkopf,NT,,,
Cortinarius variegatus Bres.,Variabler Seidenkopf,EN,D1,,
Cortinarius vespertinus (Fr.) Fr.,Blasser Schleimkopf,EN,D1,,
Cortinarius vulpinus (Velen.) R. Hry,Fuchsigbrauner Schleimkopf,VU,"B1ab(iii,iv)",,
Cortinarius xanthophyllus (Cooke) R. Hry,Goldblättriger Klumpfuß,EN,"B1ab(iii,iv)",,
Cortinarius zinziberatus (Scop.: Fr.) Fr.,Olivgelber Rauhkopf,EN,D1,,
Cotylidia undulata (Pers.: Fr.) P. Karst.,Pfifferlings-Warzenpilz,EN,D1,,
Crepidotus autochthonus J.E. Lange,Gebrechlicher Krüppelfuß,EN,D1,,
