ID,Name,Kanton,Eintritt BR,Austritt BR,Heimatort,ID Heimatort,Gewählt Wahlgang,Gewählt Stimmen,Absolutes Mehr,Stimmen ü aMehr,Partei
92,"Stich, Otto",SO,07.12.1983,31.10.1995,Kleinlützel,,1,124,123,1,SP
93,"Delamuraz, Jean-Pascal",VD,07.12.1983,31.03.1998,Longirod,,1,130,121,9,FDP
94,"Kopp, Elisabeth",ZH,02.10.1984,12.01.1989,"Niederönz, Luzern, Zumikon",,1,124,121,3,FDP
95,"Koller, Arnold",AI,10.12.1986,30.04.1999,"Gossau, Oberbüren",,1,180,122,58,CVP
96,"Cotti , Flavio",TI,10.12.1986,30.04.1999,Prato Sornico,,1,163,120,43,CVP
97,"Ogi , Adolf",BE,09.12.1987,31.12.2000,Kandersteg,,2,132,121,11,SVP
98,"Felber, René",NE,09.12.1987,31.03.1993,"Kottwil, Le Locle",,1,152,115,37,SP
99,"Villiger, Kaspar",LU,01.02.1989,31.12.2003,"Sins, Pfeffikon",,1,124,118,6,FDP
100,"Dreifuss, Ruth",GE,10.03.1993,31.12.2002,Endingen,,3,144,96,48,SP
101,"Leuenberger, Moritz",ZH,27.09.1995,31.10.2010,Rohrbach,,5,124,106,18,SP
102,"Couchepin, Pascal",VS,11.03.1998,31.10.2009,Martigny,,5,146,120,26,FDP
103,"Metzler-Arnold, Ruth",AI,11.03.1999,31.12.2003,"Richenthal, Willisau-Stadt, Balgach",,4,126,123,3,CVP
104,"Deiss, Joseph",FR,11.03.1999,31.07.2006,Zeihen,,6,120,120,0,CVP
105,"Schmid, Samuel",BE,06.12.2000,31.12.2008,Attiswil,,6,121,117,4,BDP
106,"Calmy-Rey, Micheline",GE,04.12.2002,31.12.2011,Chermignon,,5,131,100,31,SP
107,"Merz, Hans-Rudolf",AR,10.12.2003,31.10.2010,Beinwil a S.,,2,127,120,7,FDP
108,"Blocher, Christoph",ZH,10.12.2003,31.12.2007,"Meilen, Zürich, Schattenhalb",,3,121,119,2,SVP
109,"Leuthard, Doris",AG,14.06.2006,,"Merenschwand, Sarnen",,1,133,118,15,CVP
110,"Widmer-Schlumpf, Eveline",GR,12.12.2007,31.12.2015,"Felsberg, Mönchaltdorf",,2,125,122,3,BDP
111,"Maurer, Ueli",ZH,10.12.2008,,"Adelboden, Hinwil",,3,122,122,0,SVP
112,"Burkhalter, Didier",NE,16.09.2009,31.10.2017,"Neuchâtel, Sumiswald",,4,129,120,9,FDP
113,"Sommaruga, Simonetta",BE,22.09.2010,,"Lugano, Eggiwil",,4,159,121,38,SP
114,"Schneider-Ammann, Johann N.",BE,22.09.2010,,Hasle bei Burgdorf,,5,144,119,25,FDP
115,"Berset, Alain",FR,14.12.2011,,Misery-Courtion,,2,126,123,3,SP
116,"Parmelin, Guy",VD,09.12.2015,,Bursins,,3,138,119,19,SVP
117,"Cassis, Ignazio",TI,20.09.2017,,Sessa,,2,125,123,2,FDP
