"year","combinedStatus","fullName","sortName","primaryNationality","secondaryNationality","tertiaryNationality","gender","photoUrl","photoCredit","type","lastStatus","typeOfDeath","status","employedAs","organizations","jobs","coverage","mediums","country","location","region","state","locality","province","localOrForeign","sourcesOfFire","motiveConfirmed","accountabilityCrossfire","accountabilityAssignment","impunityMurder","tortured","captive","threatened","charges","motive","lengthOfSentence","healthProblems","impCountry","entry","sentenceDate","sentence","locationImprisoned"
"2007","Confirmed","Azhar Abdullah al-Maliki ",,,,,,,,"Media Worker",,"N/A","Killed","Staff","Iraq Media Network",,,,"Iraq","Baghdad",,,"Baghdad",,,,"N/A",,,,,,,,,,,,,,,
"2017","Confirmed","Aziz Navin",,"Afghanistan",,,"Male",,,"Media Worker","Killed","N/A","Killed",,"MOBY/TOLO TV","Technician",,,"Afghanistan","Kabul",,,"Kabul",,"Foreign",,"N/A",,,,,,,,,,,,,,,
"2017","Confirmed","Bakhtiyar Haddad",,"Iraq",,,"Male",,,"Media Worker","Killed","N/A","Killed",,"France 2","Fixer",,,"Iraq","Mosul",,,"Mosul",,"Local",,"N/A",,,,,,,,,,,,,,,
"2009","Confirmed","Benjie Adolfo",,,,,,,,"Media Worker",,"N/A","Killed","Staff","Gold Star Daily",,,,"Philippines","Ampatuan",,,"Ampatuan",,,,"N/A",,,,,,,,,,,,,,,
"2009","Confirmed","Daniel Tiamson",,,,,,,,"Media Worker",,"N/A","Killed","Staff","UNTV",,,,"Philippines","Ampatuan",,,"Ampatuan",,,,"N/A",,,,,,,,,,,,,,,
"2018","Confirmed","Efraín Segarra Abril",,"Ecuador",,,"Male","https://cpj-photos.s3.amazonaws.com/Ec_Segarra1-2018-05-01-1525212157718.jpg","Segarra Family","Media Worker","Killed","N/A","Killed","Staff","El Comercio",,,,"Colombia",,,,,,"Foreign","Political Group","N/A",,,,,,,,,,,,,,,
"2011","Confirmed","Farah Hassan Sahal",,,,,,"https://cpj-photos.s3-us-west-2.amazonaws.com/farah%252520hassan%252520presscard.jpg","Hassan's press card.","Media Worker",,"N/A","Killed","Staff","Radio Simba",,,,"Somalia","Mogadishu",,,"Mogadishu",,,,"N/A",,,,,,,,,,,,,,,
"2007","Confirmed","Flor Vásquez López",,,,,,,,"Media Worker",,"N/A","Killed","Staff","El Imparcial del Istmo",,,,"Mexico","Tehuantepec",,,"Tehuantepec",,,,"N/A",,,,,,,,,,,,,,,
"2011","Confirmed","Fuad al-Shamri",,,,,,,,"Media Worker",,"N/A","Killed","Staff","Al-Saeeda TV",,,,"Yemen","Sana’a",,,"Sana’a",,,,"N/A",,,,,,,,,,,,,,,
"2007","Confirmed","G. Gopinath",,,,,,,,"Media Worker",,"N/A","Killed","Staff","Dinakaran",,,,"India","Madurai, Tamil Nadu",,,"Madurai, Tamil Nadu",,,,"N/A",,,,,,,,,,,,,,,
"2017","Confirmed","Ghani",,"Afghanistan",,,"Male",,,"Media Worker","Killed","N/A","Killed","Staff","Radio Television Afghanistan",,,,"Afghanistan","Jalalabad",,,"Jalalabad",,"Local",,"N/A",,,,,,,,,,,,,,,
"2014","Confirmed","Hamid Shihab",,,,,,,,"Media Worker",,"N/A","Killed","Staff","Media 24",,,,"Israel and the Occupied Palestinian Territory","Gaza City",,,"Gaza City",,,,"N/A",,,,,,,,,,,,,,,
"2006","Confirmed","Hassan [full name unavailable]",,,,,,,,"Media Worker",,"N/A","Killed","Staff","Al-Shaabiya",,,,"Iraq","Baghdad",,,"Baghdad",,,,"N/A",,,,,,,,,,,,,,,
"2003","Confirmed","Hassan Alwan",,,,,,,,"Media Worker",,"N/A","Killed","Staff","Al-Arabiya",,,,"Iraq","Baghdad",,,"Baghdad",,,,"N/A",,,,,,,,,,,,,,,
"2015","Confirmed","Hazzam Mohamed Zeid",,,,,,,,"Media Worker",,"N/A","Killed","Staff","Yemen Today",,,,"Yemen","Sana'a",,,"Sana'a",,,,"N/A",,,,,,,,,,,,,,,
"2007","Confirmed","Hussein Nizar",,,,,,,,"Media Worker",,"N/A","Killed","Staff","Baghdad TV",,,,"Iraq","Baghdad ",,,"Baghdad ",,,,"N/A",,,,,,,,,,,,,,,
"2003","Confirmed","Hussein Othman",,,,,,,,"Media Worker",,"N/A","Killed","Staff","ITV News",,,,"Iraq","Iman Anas",,,"Iman Anas",,,,"N/A",,,,,,,,,,,,,,,
"2004","Confirmed","Hussein Saleh",,,,,,,,"Media Worker",,"N/A","Killed","Staff","Al-Iraqiya TV",,,,"Iraq","Near Samara",,,"Near Samara",,,,"N/A",,,,,,,,,,,,,,,
"2007","Confirmed","Imad Abdul-Razzaq al-Obaid",,,,,,,,"Media Worker",,"N/A","Killed","Staff","Al-Raad",,,,"Iraq","an area outside Kirkuk",,,"an area outside Kirkuk",,,,"N/A",,,,,,,,,,,,,,,
"2006","Confirmed","Isma'il Muhammad Khalal",,,,,,,,"Media Worker",,"N/A","Killed","Staff","Al-Sabah",,,,"Iraq","Baghdad",,,"Baghdad",,,,"N/A",,,,,,,,,,,,,,,
"2004","Confirmed","Ismail Taher Mohsin",,,,,,,,"Media Worker",,"N/A","Killed","Staff","The Associated Press",,,,"Iraq","Baghdad",,,"Baghdad",,,,"N/A",,,,,,,,,,,,,,,
"2018","Killed","Jamaie Abdullah Musib",,"Yemen",,,"Male",,,"Media Worker","Killed","N/A","Killed","Staff","Al-Maraweah Radio Broadcasting Center",,,,"Yemen","Al-Maraweah District","Hodeidah Governorate",,"Al-Maraweah District",,"Local","Military Officials","N/A",,,,,,,,,,,,,,,
"2006","Confirmed","Jassem Hamad Ibrahim",,,,,,,,"Media Worker",,"N/A","Killed","Staff","Al-Iraqiya",,,,"Iraq","Mosul",,,"Mosul",,,,"N/A",,,,,,,,,,,,,,,
"2007","Confirmed","Jassem Mohammad Nofan",,,,,,,,"Media Worker",,"N/A","Killed","Staff","Al-Watan",,,,"Iraq","an area southwest of Kirkuk",,,"an area southwest of Kirkuk",,,,"N/A",,,,,,,,,,,,,,,
"2013","Confirmed","José Darío Arenas",,,,,,,,"Media Worker",,"N/A","Killed","Staff","Extra Quindío",,,,"Colombia","Caicedonia",,,"Caicedonia",,,,"N/A",,,,,,,,,,,,,,,
"2007","Confirmed","K. Muthuranalingam",,,,,,,,"Media Worker",,"N/A","Killed","Staff","Dinakaran",,,,"India","Madurai, Tamil Nadu",,,"Madurai, Tamil Nadu",,,,"N/A",,,,,,,,,,,,,,,
"2014","Confirmed","Kadri Bağdu",,,,,,,,"Media Worker",,"N/A","Killed","Staff","Azadiya Welat",,,,"Turkey","Adana",,,"Adana",,,,"N/A",,,,,,,,,,,,,,,
"2003","Confirmed","Kamaran Abdurazaq Muhamed",,,,,,,,"Media Worker",,"N/A","Killed","Staff","BBC",,,,"Iraq","an area near Mosul",,,"an area near Mosul",,,,"N/A",,,,,,,,,,,,,,,
"2005","Confirmed","Laiq Ibrahim Nowruz al-Kakaie",,,,,,,,"Media Worker",,"N/A","Killed","Staff","Kurdistan TV",,,,"Iraq","Kirkuk",,,"Kirkuk",,,,"N/A",,,,,,,,,,,,,,,
"2007","Confirmed","M. Vinod Kumar",,,,,,,,"Media Worker",,"N/A","Killed","Staff","Dinakaran",,,,"India","Madurai, Tamil Nadu",,,"Madurai, Tamil Nadu",,,,"N/A",,,,,,,,,,,,,,,
"2006","Confirmed","Maher",,,,,,,,"Media Worker",,"N/A","Killed","Staff","Al-Shaabiya",,,,"Iraq","Baghdad",,,"Baghdad",,,,"N/A",,,,,,,,,,,,,,,
"2006","Confirmed","Maher",,,,,,,,"Media Worker",,"N/A","Killed","Staff","Al-Shaabiya",,,,"Iraq","Baghdad",,,"Baghdad",,,,"N/A",,,,,,,,,,,,,,,
"2004","Confirmed","Mahmood Daoud",,,,,,,,"Media Worker",,"N/A","Killed","Staff","Al-Sabah al-Jedid",,,,"Iraq","Baghdad",,,"Baghdad",,,,"N/A",,,,,,,,,,,,,,,
"2016","Confirmed","Mahmoud Shabaan al-Haj Hadhir",,,,,,,,"Media Worker",,"N/A","Killed","Staff","Al-Aan FM","Technician",,,"Syria","Deir al-Zour",,,"Deir al-Zour",,"Local",,"N/A",,,,,,,,,,,,,,,
"2011","Confirmed","Marcel Legré",,,,,,,,"Media Worker",,"N/A","Killed","Staff","La Refondation",,,,"Ivory Coast","Koumassi",,,"Koumassi",,,,"N/A",,,,,,,,,,,,,,,
"2007","Confirmed","Mateo Cortés Martínez",,,,,,,,"Media Worker",,"N/A","Killed","Staff","El Imparcial del Istmo",,,,"Mexico","Tehuantepec",,,"Tehuantepec",,,,"N/A",,,,,,,,,,,,,,,
"2009","Confirmed","Mian Iqbal Shah",,,,,,,,"Media Worker",,"N/A","Killed","Staff","Peshawar Press Club",,,,"Pakistan","Peshawar",,,"Peshawar",,,,"N/A",,,,,,,,,,,,,,,
"2010","Confirmed","Mohamed Abd al-Kareem Hadi al-Bayati",,,,,,,,"Media Worker",,"N/A","Killed","Staff","Al-Arabiya",,,,"Iraq","Baghdad",,,"Baghdad",,,,"N/A",,,,,,,,,,,,,,,
"2004","Confirmed","Mohamed Najmedin",,,,,,,,"Media Worker",,"N/A","Killed","Freelance","freelance",,,,"Iraq"," Mahmoudiyya",,," Mahmoudiyya",,,,"N/A",,,,,,,,,,,,,,,
"2011","Confirmed","Mohamed Shaglouf",,,,,,,,"Media Worker",,"N/A","Killed","Freelance","freelance",,,,"Libya","Ajdabiya",,,"Ajdabiya",,,,"N/A",,,,,,,,,,,,,,,
"2018","Confirmed","Mohammad Akhtar",,"Afghanistan",,,"Male","https://cpj-photos.s3.us-west-2.amazonaws.com/prod/AFP_Mohammad_Akhtar_1.jpg_2bcfcc32-43b5-4c8e-a2a6-dd9ff6c29446.jpeg","AFP","Media Worker","Killed","N/A","Killed","Staff","Agence France-Presse",,,,"Afghanistan","Kabul",,,"Kabul",,"Local","Political Group","N/A",,,,,,,,,,,,,,,
"2012","Confirmed","Mohammad Amir ",,,,,,,,"Media Worker",,"N/A","Killed","Staff","ARY Television",,,,"Pakistan","Peshawar",,,"Peshawar",,,,"N/A",,,,,,,,,,,,,,,
"2018","Confirmed","Mohammad Daud Anwari",,"Afghanistan",,,"Male",,,"Media Worker","Killed","N/A","Killed","Staff","Radio Television Afghanistan",,,,"Afghanistan","Ghazni",,,"Ghazni",,"Local","Political Group","N/A",,"No",,,,,,,,,,,,,
"2014","Confirmed","Mohammad Khalid",,,,,,,,"Media Worker",,"N/A","Killed","Staff","Express TV",,,,"Pakistan","Karachi",,,"Karachi",,,,"N/A",,,,,,,,,,,,,,,
"2007","Confirmed","Mohammad Matar Abdo",,,,,,,,"Media Worker",,"N/A","Killed","Staff","Palestine",,,,"Israel and the Occupied Palestinian Territory","Gaza City",,,"Gaza City",,,,"N/A",,,,,,,,,,,,,,,
"2010","Confirmed","Mohammad Sarwar",,,,,,,,"Media Worker",,"N/A","Killed","Staff","Aaj TV",,,,"Pakistan","Quetta",,,"Quetta",,,,"N/A",,,,,,,,,,,,,,,
"2006","Confirmed","Mohammad Siddik",,,,,,,,"Media Worker",,"N/A","Killed","Staff","Voice of America",,,,"Iraq","Baghdad",,,"Baghdad",,,,"N/A",,,,,,,,,,,,,,,
"2013","Confirmed","Mohammed Abdul-Hameed",,,,,,,,"Media Worker",,"N/A","Killed","Staff","Salaheddin TV",,,,"Iraq","Tikrit",,,"Tikrit",,,,"N/A",,,,,,,,,,,,,,,
"2017","Confirmed","Mohammed Amir Shinwari",,"Afghanistan",,,"Male",,,"Media Worker","Killed","N/A","Killed","Staff","Radio Television Afghanistan",,,,"Afghanistan","Jalalabad",,,"Jalalabad",,"Local",,"N/A",,,,,,,,,,,,,,,
"2017","Confirmed","Mohammed Nazir",,"Afghanistan",,,"Male",,,"Media Worker","Killed","N/A","Killed",,"BBC",,,,"Afghanistan","Kabul",,,"Kabul",,"Local",,"N/A",,,,,,,,,,,,,,,
"2014","Confirmed","Mohammed Nour al-Din al-Deiri",,,,,,,,"Media Worker",,"N/A","Killed","Staff","Palestine Network for Press and Media",,,,"Israel and the Occupied Palestinian Territory","Shijaiyah, Gaza",,,"Shijaiyah, Gaza",,,,"N/A",,,,,,,,,,,,,,,
"2014","Confirmed","Molou Chérif",,,,,,,,"Media Worker",,"N/A","Killed","Staff","Radio Rurale de N'Zérékoré",,,,"Guinea","Womé",,,"Womé",,,,"N/A",,,,,,,,,,,,,,,
"2015","Confirmed","Monir Aklan",,,,,,,,"Media Worker",,"N/A","Killed","Staff","Yemen Today",,,,"Yemen","Sana'a",,,"Sana'a",,,,"N/A",,,,,,,,,,,,,,,
"2006","Confirmed","Muazaz Ahmed Barood",,,,,,,,"Media Worker",,"N/A","Killed","Staff","Al-Nahrain",,,,"Iraq","between Baghdad and Mada'in",,,"between Baghdad and Mada'in",,,,"N/A",,,,,,,,,,,,,,,
"2004","Confirmed","Muhammad Ahmad Sarham",,,,,,,,"Media Worker",,"N/A","Killed","Staff","Iraq Media Network",,,,"Iraq","Baqouba",,,"Baqouba",,,,"N/A",,,,,,,,,,,,,,,
"2003","Confirmed","Nabil Hussein",,,,,,,,"Media Worker",,"N/A","Killed","Staff","Al-Arabiya",,,,"Iraq","Baghdad",,,"Baghdad",,,,"N/A",,,,,,,,,,,,,,,
"2007","Confirmed","Nabras Mohammed Hadi",,,,,,,,"Media Worker",,"N/A","Killed","Staff","Iraq Media Network",,,,"Iraq","Baghdad",,,"Baghdad",,,,"N/A",,,,,,,,,,,,,,,
"2004","Confirmed","Najeed Rashid",,,,,,,,"Media Worker",,"N/A","Killed","Staff","Iraq Media Network",,,,"Iraq","Baqouba",,,"Baqouba",,,,"N/A",,,,,,,,,,,,,,,
"2008","Confirmed","Niko Franjic",,,,,,,,"Media Worker",,"N/A","Killed","Staff","Nacional",,,,"Croatia"," Zagreb",,," Zagreb",,,,"N/A",,,,,,,,,,,,,,,
"2017","Confirmed","Omar Arghandewal",,"Afghanistan",,,"Male",,,"Media Worker","Killed","N/A","Killed",,"Radio Television Afghanistan",,,,"Afghanistan",,,,,,"Local",,"N/A",,,,,,,,,,,,,,,
"2004","Confirmed","Omar Kamal",,,,,,,,"Media Worker",,"N/A","Killed","Staff","Time",,,,"Iraq","Baghdad",,,"Baghdad",,,,"N/A",,,,,,,,,,,,,,,
"2008","Confirmed","Qaydar Sulaiman",,,,,,,,"Media Worker",,"N/A","Killed","Staff","Al-Sharqiya",,,,"Iraq","Mosul",,,"Mosul",,,,"N/A",,,,,,,,,,,,,,,
"2003","Confirmed","Ramziya Moushee",,,,,,,,"Media Worker",,"N/A","Killed","Staff","Al-Arabiya",,,,"Iraq","Baghdad",,,"Baghdad",,,,"N/A",,,,,,,,,,,,,,,
"2018","Confirmed","Rebecca Smith",,"USA",,,"Female","https://cpj-photos.s3.amazonaws.com/bal-capital-gazette-shooting-victim-rebecca-sm-001-2018-07-02-1530564211210.jpg","Baltimore Sun Media Group","Media Worker","Killed","N/A","Killed","Staff","Capital Gazette",,,,"USA","Annapolis, Maryland",,"Maryland","Annapolis, Maryland",,"Local","Local Residents","N/A",,,"Complete Impunity","No","No","Yes",,,,,,,,,
"2011","Confirmed","Rodolfo Ochoa Moreno",,,,,,,,"Media Worker",,"N/A","Killed","Staff","Grupo Multimedios Laguna",,,,"Mexico","Torreón",,,"Torreón",,,,"N/A",,,,,,,,,,,,,,,
"2007","Confirmed","Saeed Chmagh",,,,,,,,"Media Worker",,"N/A","Killed","Staff","Reuters",,,,"Iraq","Baghdad",,,"Baghdad",,,,"N/A",,,,,,,,,,,,,,,
"2006","Confirmed","Sami Nasrallahal-Shimari ",,,,,,,,"Media Worker",,"N/A","Killed","Staff","Al-Shaabiya",,,,"Iraq","Baghdad",,,"Baghdad",,,,"N/A",,,,,,,,,,,,,,,
"2004","Confirmed","Samya Abdel Jabar",,,,,,,,"Media Worker",,"N/A","Killed","Staff","Al-Sabah al-Jedid",,,,"Iraq","Baghdad",,,"Baghdad",,,,"N/A",,,,,,,,,,,,,,,
"2007","Confirmed","Sayed Agha",,,,,,,,"Media Worker",,"N/A","Killed","Freelance","freelance",,,,"Afghanistan","Helmand province",,,"Helmand province","Helmand province",,,"N/A",,,,,,,,,,,,,,,
"2004","Confirmed","Selwan Abdelghani Medhi al-Niem",,,,,,,,"Media Worker",,"N/A","Killed","Staff","Voice of America",,,,"Iraq","Baghdad",,,"Baghdad",,,,"N/A",,,,,,,,,,,,,,,
"2014","Confirmed","Sidiki Sidibé",,,,,,,,"Media Worker",,"N/A","Killed","Staff","Radio Rurale de N'Zérékoré",,,,"Guinea","Womé",,,"Womé",,,,"N/A",,,,,,,,,,,,,,,
"2006","Confirmed","Suleiman al-Chidiac",,,,,,,,"Media Worker",,"N/A","Killed","Staff","Lebanese Broadcasting Corporation",,,,"Lebanon","Fatqa",,,"Fatqa",,,,"N/A",,,,,,,,,,,,,,,
"2018","Confirmed","Suleiman Mahamed",,"Ethiopia",,,"Male","https://cpj-photos.s3.us-west-2.amazonaws.com/prod/Mahamed.Suleiman_Unnamed.Colleague.jpg_d4aa10ed-f400-4241-832b-ec53a13d066d.jpeg","Withheld","Media Worker","Killed","N/A","Killed","Staff","Dire Dawa Mass Media Agency","Driver",,,"Ethiopia","Meiso",,"Oromia","Meiso",,"Local","Unknown Fire","N/A",,,"Complete Impunity","No","No","No",,,,,,,,,
"2004","Confirmed","Unidentified ",,,,,,,,"Media Worker",,"N/A","Killed","Freelance","Freelance",,,,"Iraq","in an area outside Baghdad",,,"in an area outside Baghdad",,,,"N/A",,,,,,,,,,,,,,,
"2006","Confirmed","Unidentified",,,,,,,,"Media Worker",,"N/A","Killed","Staff","Al-Shaabiya",,,,"Iraq","Baghdad",,,"Baghdad",,,,"N/A",,,,,,,,,,,,,,,
"2006","Confirmed","Unidentified",,,,,,,,"Media Worker",,"N/A","Killed","Staff","Al-Sabah",,,,"Iraq","Baghdad",,,"Baghdad",,,,"N/A",,,,,,,,,,,,,,,
"2014","Confirmed","Waqas Aziz Khan",,,,,,,,"Media Worker",,"N/A","Killed","Staff","Express TV",,,,"Pakistan","Karachi",,,"Karachi",,,,"N/A",,,,,,,,,,,,,,,
"2004","Confirmed","Yasser Khatab",,,,,,,,"Media Worker",,"N/A","Killed","Staff","CNN",,,,"Iraq","Outside Baghdad",,,"Outside Baghdad",,,,"N/A",,,,,,,,,,,,,,,
"2017","Confirmed","Zainullah",,"Afghanistan",,,"Male",,,"Media Worker","Killed","N/A","Killed",,"Radio Television Afghanistan",,,,"Afghanistan","Jalalabad",,,"Jalalabad",,"Local",,"N/A",,,,,,,,,,,,,,,
"2007","Confirmed","Ziad Tarek al-Dibo",,,,,,,,"Media Worker",,"N/A","Killed","Staff","Al-Watan",,,,"Iraq","southwest of Kirkuk",,,"southwest of Kirkuk",,,,"N/A",,,,,,,,,,,,,,,
