"year","combinedStatus","fullName","sortName","primaryNationality","secondaryNationality","tertiaryNationality","gender","photoUrl","photoCredit","type","lastStatus","typeOfDeath","status","employedAs","organizations","jobs","coverage","mediums","country","location","region","state","locality","province","localOrForeign","sourcesOfFire","motiveConfirmed","accountabilityCrossfire","accountabilityAssignment","impunityMurder","tortured","captive","threatened","charges","motive","lengthOfSentence","healthProblems","impCountry","entry","sentenceDate","sentence","locationImprisoned"
"2016","Confirmed","Ali Mahmud",,"Iraq",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/Ali_Mahmud_youtube_al.ghadeer.jpg","YouTube/Al-Ghadeer TV","Journalist",,"Crossfire","Killed","Staff","Al-Ghadeer TV","Camera Operator","War","Television","Iraq","Qayyarah, Nineveh province",,,"Qayyarah, Nineveh province","Qayyarah, Nineveh province","Local","Political Group","Confirmed",,,,,,,,,,,,,,,
"2014","Confirmed","Ali Mustafa",,,,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/ali.mustafa.google.plus.cropped.jpg","Google+","Journalist",,"Crossfire","Killed","Freelance","Freelance","Photographer","Human Rights,Politics,War","Print,Internet","Syria","Aleppo",,,"Aleppo",,"Foreign","Military Officials","Confirmed",,,,"No","No","No",,,,,,,,,
"2016","Confirmed","Ali Risan",,"Iraq",,,"Male",,,"Journalist",,"Crossfire","Killed","Staff","Al-Sumaria TV","Camera Operator","War","Television,Internet","Iraq","Al-Shura, Nineveh Province",,,"Al-Shura, Nineveh Province","Al-Shura, Nineveh Province","Local","Political Group","Confirmed",,,,,,,,,,,,,,,
"2012","Confirmed","Ali Shaaban",,"Lebanon",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/alishaaban_afp1.jpg","AFP","Journalist",,"Crossfire","Killed","Staff","Al-Jadeed","Camera Operator","War","Television","Lebanon","Wadi Khaled",,,"Wadi Khaled",,"Local","Military Officials","Confirmed",,,,"No","No","No",,,,,,,,,
"2016","Confirmed","Almigdad Mojalli",,"Yemen",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/AlmigdadMojalli_silviaBattaglia180.jpg","Silvia Battaglia","Journalist",,"Crossfire","Killed","Freelance","Freelance","Broadcast Reporter,Print Reporter","Culture,Human Rights,Politics,War","Print,Internet","Yemen","Hamam Jarif",,,"Hamam Jarif",,"Local","Military Officials","Confirmed",,,,"No","No",,,,,,,,,,
"2013","Confirmed","Amer Diab",,"Syria",,,"Male",,,"Journalist",,"Crossfire","Killed","Freelance","Freelance","Broadcast Reporter,Camera Operator","Human Rights,War","Internet","Syria","Damascus",,,"Damascus",,"Local","Military Officials","Confirmed",,,,"No","No","No",,,,,,,,,
"2015","Confirmed","Ammar al-Shami",,"Syria",,,"Male",,,"Journalist",,"Crossfire","Killed","Staff","Qasioun News","Photographer","Human Rights,Politics,War","Internet","Syria","Marj al-Sultan, Eastern Ghouta",,,"Marj al-Sultan, Eastern Ghouta",,"Local","Military Officials","Confirmed",,,,,,,,,,,,,,,
"2012","Confirmed","Ammar Mohamed Suhail Zado",,"Syria",,,"Male",,,"Journalist",,"Crossfire","Killed","Staff","Shaam News Network","Camera Operator","Human Rights,War","Internet","Syria","Damascus",,,"Damascus",,"Local","Military Officials","Confirmed",,,,"No","No","No",,,,,,,,,
"2013","Confirmed","Amr Badir al-Deen Junaid",,"Syria",,,"Male",,,"Journalist",,"Crossfire","Killed","Freelance","Qaboun Media Center","Camera Operator,Photographer","Human Rights,Politics,War","Internet","Syria","Damascus",,,"Damascus",,"Local","Military Officials","Confirmed",,,,"No","No","No",,,,,,,,,
"2012","Confirmed","Anas al-Tarsha",,"Syria",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/anasal-tarsh.fb1.jpg","","Journalist",,"Crossfire","Killed","Freelance","Freelance","Camera Operator","Human Rights,War","Internet","Syria","Homs",,,"Homs",,"Local","Military Officials","Confirmed",,,,,,,,,,,,,,,
"2014","Confirmed","Andrea Rocchelli",,,,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/andrea.rocchelli.ap.jpg","AP","Journalist",,"Crossfire","Killed","Freelance","Cesura photo agency","Photographer","Human Rights,War","Print,Internet","Ukraine","Andreyevka",,,"Andreyevka",,"Foreign","Military Officials","Confirmed","No",,,,,,,,,,,,,,
"1993","Confirmed","Andrei Soloviev",,,,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/Soloviev.Russia.1993.1.jpg","AP","Journalist",,"Crossfire","Killed","Staff","ITAR-TASS","Photographer","War","Print","Georgia","Sukhumi",,,"Sukhumi",,"Foreign","Military Officials","Confirmed",,,,"No","No","No",,,,,,,,,
"2014","Confirmed","Andrei Stenin",,,,,"Male",,,"Journalist",,"Crossfire","Killed","Staff","Rossiya Segodnya","Photographer","Human Rights,War","Print,Internet","Ukraine","Snizhne",,,"Snizhne",,"Foreign","Unknown Fire","Confirmed",,,,"No","No","No",,,,,,,,,
"2011","Confirmed","Anton Hammerl",,,,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/Hammerl.ap1.jpg","AP","Journalist",,"Crossfire","Killed","Freelance","Freelance","Photographer","War","Print","Libya","an area near Brega",,,"an area near Brega",,"Foreign","Military Officials","Confirmed",,,,"No","Yes","No",,,,,,,,,
"2007","Confirmed","Aref Ali Filaih",,"Iraq",,,"Male",,,"Journalist",,"Crossfire","Killed","Freelance","Aswat al-Iraq","Print Reporter","War","Print","Iraq","Al-Khalis",,,"Al-Khalis",,"Local","Political Group","Confirmed",,,,"No","No","No",,,,,,,,,
"1994","Confirmed","Artur Gilela",,"Angola",,,"Male",,,"Journalist",,"Crossfire","Killed","Staff","Radio Nacional de Angola","Technician","War","Radio","Angola","Kuito",,,"Kuito",,"Local","Political Group","Confirmed",,,,"No","No","No",,,,,,,,,
"2004","Confirmed","Asaad Kadhim",,"Iraq",,,"Male",,,"Journalist",,"Crossfire","Killed","Staff","Al-Iraqiya TV","Broadcast Reporter","War","Television","Iraq","near Samara",,,"near Samara",,"Local","Military Officials","Confirmed",,,,"No","No","No",,,,,,,,,
"2010","Confirmed","Assaf Abu Rahal",,"Lebanon",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/assaf.jpg","Photo: Al-Akhbar","Journalist",,"Crossfire","Killed","Staff","Al-Akhbar","Print Reporter","War","Print","Lebanon","an area near Al-Adaysseh",,,"an area near Al-Adaysseh",,"Local","Military Officials","Confirmed",,,,,,,,,,,,,,,
"2014","Confirmed","Atallah Bajbouj",,"Syria",,,"Male",,,"Journalist",,"Crossfire","Killed","Staff","Nabaa Media Foundation","Camera Operator,Internet Reporter","Human Rights,Politics,War","Internet","Syria","Daraa",,,"Daraa",,"Local","Unknown Fire","Confirmed",,,,"No","No","No",,,,,,,,,
"2016","Confirmed","Awab al-Zubiry",,"Yemen",,,"Male",,,"Journalist",,"Crossfire","Killed","Freelance","Freelance","Camera Operator,Photographer","Politics,War","Internet","Yemen","Taiz",,,"Taiz",,"Local","Political Group","Confirmed",,,,,,,,,,,,,,,
"2004","Confirmed","Ayoub Mohamed",,"Iraq",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/ayoub_mohamed_iraq_2004.jpg","","Journalist",,"Crossfire","Killed","Freelance","Kurdistan TV","Camera Operator","Culture,Sports","Television","Iraq","Arbil",,,"Arbil",,"Local","Political Group","Confirmed",,,,"No","No","No",,,,,,,,,
"2010","Confirmed","Barkhat Awale",,"Somalia",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/Barqad%252520Awale%252520Adan1.jpg","SOMEPED","Journalist",,"Crossfire","Killed","Staff","Hurma Radio","Editor","Culture,War","Radio","Somalia","Mogadishu",,,"Mogadishu",,"Local","Unknown Fire","Confirmed",,,,,,,,,,,,,,,
"2012","Confirmed","Basel Tawfiq Youssef",,"Syria",,,"Male",,,"Journalist",,"Crossfire","Killed","Staff","Syrian State TV","Broadcast Reporter","Politics,War","Television","Syria","Damascus",,,"Damascus",,"Local","Political Group","Confirmed",,,,"No","No","Yes",,,,,,,,,
"2018","Confirmed","Bashar al-Attar",,"Syria",,,"Male",,,"Journalist","Killed","Crossfire","Killed","Staff","Arbin Unified Media Office","Photographer","War","Internet","Syria","Arbin",,,"Arbin","eastern Ghouta","Local","Military Officials","Confirmed","No",,,,,,,,,,,,,,
"2009","Confirmed","Basil Ibrahim Faraj",,"Israel and the Occupied Palestinian Territory",,,"Male",,,"Journalist",,"Crossfire","Killed","Staff","Palestinian Media and Communication Company","Camera Operator","Politics,War","Television","Israel and the Occupied Palestinian Territory","Gaza ",,,"Gaza ",,"Local","Military Officials","Confirmed",,,,"No","No","No",,,,,,,,,
"2012","Confirmed","Bassel al-Shahade",,"Syria",,,"Male",,,"Journalist",,"Crossfire","Killed","Freelance","Freelance","Camera Operator","Human Rights,War","Internet","Syria","Homs",,,"Homs",,"Local","Military Officials","Confirmed",,,,"No","No","No",,,,,,,,,
"2013","Confirmed","Bassem Fawaz al-Zabi",,"Syria",,,"Male",,,"Journalist",,"Crossfire","Killed","Freelance","Freelance","Camera Operator","Human Rights,Politics","Internet","Syria","Daraa",,,"Daraa",,"Local","Unknown Fire","Confirmed",,,,,,,,,,,,,,,
"2015","Confirmed","Batoul Mokhles al-Warrar",,"Syria",,,"Female",,,"Journalist",,"Crossfire","Killed","Staff","Noor al-Sham; Radio Damascus","Broadcast Reporter","Politics,War","Radio,Television","Syria","Damascus",,,"Damascus",,"Local","Political Group","Confirmed",,,,,,,,,,,,,,,
"2015","Confirmed","Bilal Sharaf al-Deen",,"Yemen",,,"Male",,,"Journalist",,"Crossfire","Killed","Staff","Al-Masirah TV","Camera Operator","Politics,War","Television","Yemen","Sana'a",,,"Sana'a",,"Local","Military Officials","Confirmed",,,,,,,,,,,,,,,
"1994","Confirmed","Brian Brinton",,"Bosnia",,,"Male",,,"Journalist",,"Crossfire","Killed","Freelance","freelance","Photographer","War","Print","Bosnia","an area near Mostar",,,"an area near Mostar",,"Local","Military Officials","Confirmed",,,,"No","No","No",,,,,,,,,
"2004","Confirmed","Burhan Mohamed Mazhour",,"Iraq",,,"Male",,,"Journalist",,"Crossfire","Killed","Freelance","ABC","Camera Operator","War","Television","Iraq","Fallujah",,,"Fallujah",,"Local","Military Officials","Confirmed",,,,"No","No","No",,,,,,,,,
"1992","Confirmed","Chingiz Fuad-ogly Mustafayev",,"Azerbaijan",,,"Male",,,"Journalist",,"Crossfire","Killed","Staff","DR-Press","Photographer,Print Reporter","Human Rights,War","Print","Azerbaijan","Nagorno-Karabakh",,,"Nagorno-Karabakh",,"Local","Political Group","Confirmed",,,,"No","No","No",,,,,,,,,
"2011","Confirmed","Chris Hondros",,,,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/Hondros%252520cropped.afp.jpg","Getty Images","Journalist",,"Crossfire","Killed","Staff","Getty Images","Photographer","War","Print,Internet","Libya","Misurata",,,"Misurata",,"Foreign","Military Officials","Confirmed",,,,,,,,,,,,,,,
"2003","Confirmed","Christian Liebig",,,,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/christian_liebig_iraq_2003.jpg","","Journalist",,"Crossfire","Killed","Staff","Focus","Print Reporter","War","Print","Iraq","outside Baghdad",,,"outside Baghdad",,"Foreign","Military Officials","Confirmed",,,,"No","No","No",,,,,,,,,
"2017","Confirmed","Christopher Allen",,"USA",,,"Male","https://cpj-photos.s3.amazonaws.com/ChrisAllen_EELUKS-1-2017-09-05-1504629172625.jpg","Eddie Einbender-Luks","Journalist","Killed","Crossfire","Killed","Freelance","Freelance","Photographer,Internet Reporter,Print Reporter","War,Corruption,Politics","Print,Internet","South Sudan","Kaya",,"Yei River","Kaya",,"Foreign","Military Officials","Confirmed","No",,,,,,,,,,,,,,
"1994","Confirmed","Cynthia Elbaum",,,,,"Female",,,"Journalist",,"Crossfire","Killed","Freelance","Freelancer","Photographer","War","Print","Russia","Grozny",,,"Grozny",,"Foreign","Military Officials","Confirmed",,,,"No","No","No",,,,,,,,,
"1994","Confirmed","Dario D'Angelo",,,,,"Male",,,"Journalist",,"Crossfire","Killed","Staff","RAI-TV","Broadcast Reporter","War","Television","Bosnia","Mostar",,,"Mostar",,"Foreign","Paramilitary Group","Confirmed",,,,"No","No","No",,,,,,,,,
"1993","Confirmed","David Bolkvadze",,"Georgia",,,"Male",,,"Journalist",,"Crossfire","Killed","Staff","Worldwide Television News","Broadcast Reporter","War","Television","Georgia","Kobi",,,"Kobi",,"Local","Military Officials","Confirmed",,,,"No","No","No",,,,,,,,,
"2016","Confirmed","David Gilkey",,"USA",,,"Male",,,"Journalist",,"Crossfire","Killed","Staff","National Public Radio","Photographer","Politics,War","Radio,Internet","Afghanistan","Marjah district, Helmand province",,,"Marjah district, Helmand province","Marjah district, Helmand province","Foreign","Political Group","Confirmed",,,,,,,,,,,,,,,
"1992","Confirmed","David Kaplan",,,,,"Male",,,"Journalist",,"Crossfire","Killed","Staff","ABC News","Producer","Politics,War","Television","Bosnia","Sarajevo",,,"Sarajevo",,"Foreign","Military Officials","Confirmed",,,,"No","No","No",,,,,,,,,
"2004","Confirmed","Dhia Najim",,"Iraq",,,"Male",,,"Journalist",,"Crossfire","Killed","Freelance","freelance","Camera Operator","War","Television","Iraq","Ramadi",,,"Ramadi",,"Local","Military Officials","Confirmed",,,,"No","No","No",,,,,,,,,
"2017","Confirmed","Dilshan Ibash",,"Syria",,,"Female","https://cpj-photos.s3.amazonaws.com/Killed-Cap-Dilshan-Ibash-2017-10-18-1508360812692.jpg","Dilshan Ibash","Journalist","Killed","Crossfire","Killed","Staff","Hawar News Agency (ANHA)","Broadcast Reporter,Internet Reporter","War","Television,Internet","Syria","Abu Fas Village",,,"Abu Fas Village",,"Local","Political Group","Confirmed","No",,,,,,,,,,,,,,
"2007","Confirmed","Dmitry Chebotayev",,,,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/dmitry_chebotayev_iraq_2007.jpg","","Journalist",,"Crossfire","Killed","Freelance","freelance","Photographer","War","Print","Iraq","Diyala",,,"Diyala",,"Foreign","Political Group","Confirmed",,,,"No","No","No",,,,,,,,,
"1993","Confirmed","Dominique Lonneux",,,,,"Male",,,"Journalist",,"Crossfire","Killed","Freelance","Freelancer","Camera Operator","War","Television","Bosnia","western Herzegovina",,,"western Herzegovina",,"Foreign","Political Group","Confirmed",,,,"No","No","No",,,,,,,,,
"2004","Confirmed","Duraid Isa Mohammed",,"Iraq",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/duraid_isa_mohammed_iraq_2004.jpg","","Journalist",,"Crossfire","Killed","Staff","CNN","Producer","War","Television","Iraq","the outskirts of Baghdad",,,"the outskirts of Baghdad",,"Local","Political Group","Confirmed",,,,"No","No","No",,,,,,,,,
"1998","Confirmed","Edward Smith",,"Sierra Leone",,,"Male",,,"Journalist",,"Crossfire","Killed","Staff","BBC","Broadcast Reporter","War","Radio","Sierra Leone","Banbanduhun",,,"Banbanduhun",,"Local","Paramilitary Group","Confirmed",,,,"No","No","No",,,,,,,,,
