"year","combinedStatus","fullName","sortName","primaryNationality","secondaryNationality","tertiaryNationality","gender","photoUrl","photoCredit","type","lastStatus","typeOfDeath","status","employedAs","organizations","jobs","coverage","mediums","country","location","region","state","locality","province","localOrForeign","sourcesOfFire","motiveConfirmed","accountabilityCrossfire","accountabilityAssignment","impunityMurder","tortured","captive","threatened","charges","motive","lengthOfSentence","healthProblems","impCountry","entry","sentenceDate","sentence","locationImprisoned"
"2008","Confirmed","Abdul Razzak Johra",,"Pakistan",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Royal TV","Broadcast Reporter","Crime","Television","Pakistan","Punjab",,,"Punjab",,"Local","Criminal Group","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"2008","Confirmed","Abdul Samad Rohani",,"Afghanistan",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/rohani_afghanistan_2008.jpg","","Journalist",,"Murder","Killed","Staff","BBC and Pajhwok Afghan News","Broadcast Reporter,Print Reporter","Crime","Print,Radio","Afghanistan","Lashkar Gah",,,"Lashkar Gah",,"Local","Criminal Group","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"2006","Confirmed","Abdul-Rahim Nasrallah al-Shimari",,"Iraq",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Al-Shaabiya","Producer","Human Rights,Politics,War","Television","Iraq","Baghdad",,,"Baghdad",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"1999","Confirmed","Abdulai Jumah Jalloh",,"Sierra Leone",,,"Male",,,"Journalist",,"Murder","Killed","Staff","African Champion","Editor","War","Print","Sierra Leone","Freetown",,,"Freetown",,"Local","Military Officials","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"2014","Confirmed","Abdulkadir Ahmed",,"Somalia",,,"Male",,,"Journalist",,"Murder","Killed","Freelance","Freelance","Broadcast Reporter","Politics","Radio,Television","Somalia","Baidoa",,,"Baidoa",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"2017","Confirmed","Abdullahi Osman Moalim",,"Somalia",,,"Male",,,"Journalist","Killed","Murder","Killed","Staff","Jubbaland TV, Codka Hiraan","Broadcast reporter","Politics","Radio,Television","Somalia","Beledweyne",,"Hiraan","Beledweyne",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"2009","Confirmed","Abdulmalik Akhmedilov",,"Russia",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/Akhmedilov.Hakikat.jpg","Hakikat","Journalist",,"Murder","Killed","Staff","Hakikat and Sogratl","Editor","Politics","Print","Russia","Makhachkala ",,,"Makhachkala ",,"Local","Unknown Fire","Confirmed",,,"Partial Impunity","No","No","No",,,,,,,,,
"2007","Confirmed","Abdulrazak Hashim Ayal al-Khakani",,"Iraq",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Jumhuriyat al-Iraq","Broadcast Reporter,Editor","Politics","Radio","Iraq","Baghdad",,,"Baghdad",,"Local","Political Group","Confirmed",,,"Complete Impunity","Yes","Yes","No",,,,,,,,,
"2012","Confirmed","Abukar Hassan Mohamoud",,"Somalia",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/Abukar.Hassan.NUSOJ.cap.jpg","(NUSOJ)","Journalist",,"Murder","Killed","Staff","Somaliweyn Radio","Editor","Human Rights,Politics","Radio","Somalia","Mogadishu",,,"Mogadishu",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"2015","Confirmed","Adam Juma",,"South Sudan",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Raja FM","Broadcast Reporter","Politics,War","Radio","South Sudan","Western Bahr al Ghazal state",,"Western Bahr al Ghazal state","Western Bahr al Ghazal state",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"2006","Confirmed","Adel Naji al-Mansouri ",,"Iraq",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Al-Alam","Broadcast Reporter","War","Television","Iraq","Baghdad",,,"Baghdad",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","Yes",,,,,,,,,
"2015","Confirmed","Adel Sayegh ",,"Iraq",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/Adel-Sayegh200.jpg","Photo courtesy of the family","Journalist",,"Murder","Killed","Staff","Salaheddin TV","Camera Operator,Photographer","Politics,War","Television","Iraq","Mosul",,,"Mosul",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","Yes","No",,,,,,,,,
"2005","Confirmed","Adnan al-Bayati",,"Iraq",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/adnan_al_bayati_iraq_2005.jpg","","Journalist",,"Murder","Killed","Freelance","TG3","Producer","War","Television","Iraq","Baghdad",,,"Baghdad",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"2007","Confirmed","Adnan al-Safi",,"Iraq",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Al-Anwar","Broadcast Reporter","Culture,Politics","Television","Iraq","Baghdad",,,"Baghdad",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"2006","Confirmed","Adnan Khairallah",,"Iraq",,,"Male",,,"Journalist",,"Murder","Killed","Freelance","Wasan Productions and Al-Arabiya","Technician","War","Television","Iraq","Samarra",,,"Samarra",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"1992","Confirmed","Adolfo Isuiza Urquia",,"Peru",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Radio Tropical","Broadcast Reporter","Crime","Radio","Peru","Juanjui",,,"Juanjui",,"Local","Criminal Group","Confirmed",,,"Complete Impunity","Yes","Yes","Yes",,,,,,,,,
"1994","Confirmed","Adolphe Missamba Ndengi Kavula",,"Democratic Republic of the Congo",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Nsemo","Editor","Politics","Print","Democratic Republic of the Congo","Kasangulu",,,"Kasangulu",,"Local","Government Officials","Confirmed",,,"Complete Impunity","Yes","Yes","No",,,,,,,,,
"2006","Confirmed","Ahmad Sha'ban",,"Iraq",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Al-Shaabiya","Broadcast Reporter","Human Rights,Politics,War","Television","Iraq","Baghdad",,,"Baghdad",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"1995","Confirmed","Ahmed (aka Hakim) Takouchet",,"Algeria",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Radio Cirta","Broadcast Reporter","War","Radio","Algeria","Constantine",,,"Constantine",,"Local","Unknown Fire","Confirmed",,,"Complete Impunity","No","Yes","No",,,,,,,,,
"2005","Confirmed","Ahmed Adam",,"Iraq",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Al-Mada","Print Reporter","War","Print","Iraq","Latifiyah",,,"Latifiyah",,"Local","Unknown Fire","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"2012","Confirmed","Ahmed Addow Anshur",,"Somalia",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/Ahmed%252520Addow%252520%252528Shabelle%252529.cropped.jpg","Shabelle","Journalist",,"Murder","Killed","Staff","Shabelle Media Network","Broadcast Reporter,Columnist / Commentator,Producer","Politics","Radio","Somalia","Mogadishu",,,"Mogadishu",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"2005","Confirmed","Ahmed al-Rubai'i",,"Iraq",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Al-Sabah","Editor","War","Print","Iraq","Baghdad",,,"Baghdad",,"Local","Criminal Group","Confirmed",,,"Complete Impunity","No","Yes","No",,,,,,,,,
"2012","Confirmed","Ahmed Farah Ilyas",,"Somalia",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/Ahmed%252520Farah%252520%252528Somalilandpress%252529cap.jpg","","Journalist",,"Murder","Killed","Staff","Universal TV","Broadcast Reporter","Culture,Politics","Television","Somalia","Las Anod",,,"Las Anod",,"Local","Unknown Fire","Confirmed",,,"Complete Impunity","No","No","Yes",,,,,,,,,
"2007","Confirmed","Ahmed Hadi Naji",,"Iraq",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/ahmed_hadi_naji_iraq_2007.jpg","","Journalist",,"Murder","Killed","Freelance","Associated Press Television News","Camera Operator","War","Television","Iraq","Baghdad",,,"Baghdad",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","Yes","No",,,,,,,,,
"2005","Confirmed","Ahmed Hussein Al-Maliki",,"Iraq",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Talafar al-Yawm","Editor","Politics","Print","Iraq","Mosul",,,"Mosul",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","Yes",,,,,,,,,
"1994","Confirmed","Ahmed Issaad",,"Algeria",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Algerian Television","Broadcast Reporter","War","Television","Algeria","Unknown",,,"Unknown",,"Local","Unknown Fire","Confirmed",,,"Complete Impunity","Yes","No","No",,,,,,,,,
"2005","Confirmed","Ahmed Jabbar Hashim",,"Iraq",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/ahmed_jabbar_hashim_iraq_2005.jpg","","Journalist",,"Murder","Killed","Staff","Al-Sabah","Print Reporter","War","Print","Iraq","Baghdad",,,"Baghdad",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","Yes","No",,,,,,,,,
"2015","Confirmed","Ahmed Mohamed al-Mousa",,"Syria",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/Ahmed-Mohamed-al-Mousa200.jpg","(Photo courtesy of Raqqa is Being Slaughtered Silently)","Journalist",,"Murder","Killed","Staff","Raqqa is Being Slaughtered Silently","Editor","Human Rights,Politics,War","Internet","Syria","Idlib",,,"Idlib",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","Yes",,,,,,,,,
"2013","Confirmed","Ahmed Rajib Haider",,"Bangladesh",,,"Male",,,"Journalist",,"Murder","Killed","Freelance","Freelance","Internet Reporter","Corruption,Human Rights,Politics","Internet","Bangladesh","Dhaka",,,"Dhaka",,"Local","Political Group","Confirmed",,,"Full Justice","No","No","Yes",,,,,,,,,
"2006","Confirmed","Ahmed Riyadh al-Karbouli",,"Iraq",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Baghdad TV","Broadcast Reporter,Camera Operator","Human Rights,War","Television","Iraq","Ramadi",,,"Ramadi",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","Yes",,,,,,,,,
"2008","Confirmed","Ahmed Salim",,"Iraq",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Al-Sharqiya","Camera Operator","Culture","Television","Iraq","Mosul",,,"Mosul",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","Yes","No",,,,,,,,,
"2003","Confirmed","Ahmed Shawkat",,"Iraq",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/ahmed_shawkat_iraq_2003.jpg","","Journalist",,"Murder","Killed","Staff","Bilah Ittijah","Editor","Politics,War","Print","Iraq","Mosul",,,"Mosul",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","Yes",,,,,,,,,
"1999","Confirmed","Ahmet Taner Kislali",,"Turkey",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/Ahmet_Taner.Turkey.1999.jpg","IPI","Journalist",,"Murder","Killed","Staff","Cumhuriyet","Columnist / Commentator","Politics","Print","Turkey","Ankara",,,"Ankara",,"Local","Political Group","Confirmed",,,"Partial Impunity","No","No","No",,,,,,,,,
"2004","Confirmed","Aiyathurai Nadesan",,"Sri Lanka",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Virakesari","Print Reporter","Corruption,Human Rights,Politics","Print","Sri Lanka","Batticaloa",,,"Batticaloa",,"Local","Military Officials","Confirmed",,,"Complete Impunity","No","No","Yes",,,,,,,,,
"2007","Confirmed","Ajmal Naqshbandi",,"Afghanistan",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/Naqshbandi.2007.afghan.jpg","Photo Teru Kuwayama","Journalist",,"Murder","Killed","Freelance","freelance","Print Reporter","War","Print","Afghanistan","Helmand province",,,"Helmand province","Helmand province","Local","Political Group","Confirmed",,,"Complete Impunity","No","Yes","Yes",,,,,,,,,
"2013","Confirmed","Akhmednabi Akhmednabiyev",,"Russia",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/russiajournalist.jpg","","Journalist",,"Murder","Killed","Staff","Novoye Delo","Editor,Internet Reporter","Corruption,Human Rights,Politics","Internet","Russia","Semender",,,"Semender",,"Local","Government Officials","Confirmed",,,"Complete Impunity","No","No","Yes",,,,,,,,,
"2012","Confirmed","Al-Hosseiny Abou Deif",,"Egypt",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/Abou.jpg","AP","Journalist",,"Murder","Killed","Staff","El-Fagr","Internet Reporter,Print Reporter","Human Rights,Politics","Print,Internet","Egypt","Cairo",,,"Cairo",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","Yes",,,,,,,,,
"2014","Confirmed","Al-Moutaz Bellah Ibrahim",,"Syria",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/Al-Moutaz-Bellah-Ibrahim200.jpg","(Photo courtesy of Raqqa is Being Slaughtered Silently)","Journalist",,"Murder","Killed","Freelance","Shaam News Network","Broadcast Reporter","Human Rights,Politics,War","Radio,Television","Syria","Raqqa",,,"Raqqa",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","Yes","No",,,,,,,,,
"2013","Confirmed","Alaa Edward Butros",,"Iraq",,,"Male",,,"Journalist",,"Murder","Killed","Freelance","Freelance","Camera Operator,Photographer","Crime,Human Rights,Politics,War","Television","Iraq","Mosul",,,"Mosul",,"Local","Unknown Fire","Confirmed",,,"Complete Impunity","No","No","Yes",,,,,,,,,
"2007","Confirmed","Alaa Uldeen Aziz",,"Iraq",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/alaa_uldeen_aziz_iraq_2007.jpg","","Journalist",,"Murder","Killed","Staff","ABC News","Camera Operator","War","Television","Iraq","Baghdad",,,"Baghdad",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"2010","Confirmed","Alberto Graves Chakussanga",,"Angola",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/Alberto%252520Graves%252520Chakussanga1.jpg","Faculdade de Ciências Sociais da Univesidade Publica","Journalist",,"Murder","Killed","Staff","Radio Despertar","Broadcast Reporter","Politics","Radio","Angola","Luanda",,,"Luanda",,"Local","Unknown Fire","Confirmed",,,"Complete Impunity","No","No","Yes",,,,,,,,,
"2004","Confirmed","Alberto Rivera Fernández",,"Peru",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Frecuencia Oriental","Broadcast Reporter,Columnist / Commentator","Corruption,Politics","Radio","Peru","Pucallpa",,,"Pucallpa",,"Local","Government Officials","Confirmed",,,"Partial Impunity","No","No","Yes",,,,,,,,,
"2010","Confirmed","Aleh Byabenin",,"Belarus",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/Belarus.rtr.Aleh%252520Byabenin.jpg","Reuters","Journalist",,"Murder","Killed","Staff","Charter 97","Editor,Publisher / Owner","Corruption,Politics","Internet","Belarus","an area outside Minsk",,,"an area outside Minsk",,"Local","Unknown Fire","Confirmed",,,"Complete Impunity","No","No","Yes",,,,,,,,,
"1992","Confirmed","Alejandro Pérez",,"Peru",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Channel 2-Frequencia Latina TV","Producer","Human Rights,War","Television","Peru","Lima",,,"Lima",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"2009","Confirmed","Alejandro Reblando",,"Philippines",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Manila Bulletin","Print Reporter","Politics","Print","Philippines","Ampatuan",,,"Ampatuan",,"Local","Government Officials","Confirmed",,,"Complete Impunity","Yes","Yes","No",,,,,,,,,
"2008","Confirmed","Alejandro Zenón Fonseca Estrada",,"Mexico",,,"Male",,,"Journalist",,"Murder","Killed","Staff","EXA FM","Columnist / Commentator","Crime","Radio","Mexico","Villahermosa",,,"Villahermosa",,"Local","Criminal Group","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"2003","Confirmed","Aleksei Sidorov",,"Russia",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/aleksei_sidorov_russia_2003.jpg","","Journalist",,"Murder","Killed","Staff","Tolyatinskoye Obozreniye","Editor","Business,Corruption,Crime,Politics","Print","Russia","Togliatti",,,"Togliatti",,"Local","Criminal Group","Confirmed",,,"Complete Impunity","No","No","Yes",,,,,,,,,
"1994","Confirmed","Alexis Bandyatuyaga",,"Burundi",,,"Male",,,"Journalist",,"Murder","Killed","Staff","National Radio and Television of Burundi","Broadcast Reporter","Human Rights","Radio,Television","Burundi","Kamenge",,,"Kamenge",,"Local","Military Officials","Confirmed",,,"Complete Impunity","Yes","Yes","Yes",,,,,,,,,
"2000","Confirmed","Alfredo Abad López",,"Colombia",,,"Male",,,"Journalist",,"Murder","Killed","Staff","La Voz de la Selva","Producer","Corruption,Human Rights,Politics","Radio","Colombia","Florencia",,,"Florencia",,"Local","Paramilitary Group","Confirmed",,,"Complete Impunity","No","No","Yes",,,,,,,,,
"2011","Confirmed","Alfredo Antonio Hurtado Núñez",,"El Salvador",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Canal 33","Camera Operator,Editor","Crime","Television","El Salvador","Ilopango",,,"Ilopango",,"Local","Criminal Group","Confirmed",,,"Partial Impunity","No","No","No",,,,,,,,,
"2010","Confirmed","Alfrets Mirulewan",,"Indonesia",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Pelangi Weekly","Editor","Crime","Print","Indonesia","Kisar, Maluku Islands",,,"Kisar, Maluku Islands",,"Local","Criminal Group","Confirmed",,,"Complete Impunity","Yes","Yes","No",,,,,,,,,
"2012","Confirmed","Ali Abbas",,"Syria",,,"Male",,,"Journalist",,"Murder","Killed","Staff","SANA","Editor","Politics,War","Television,Internet","Syria","Damascus",,,"Damascus",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"1995","Confirmed","Ali Abboud",,"Algeria",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Radio Chaine 1","Producer","War","Radio","Algeria","Birkhadem",,,"Birkhadem",,"Local","Unknown Fire","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"2012","Confirmed","Ali Ahmed Abdi",,"Somalia",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/Ali.Abdi.MohamedGarane.cap.jpg","(Mohamed Garane)","Journalist",,"Murder","Killed","Freelance","Freelance","Broadcast Reporter,Columnist / Commentator,Internet Reporter","Human Rights,Politics,War","Radio,Internet","Somalia","Galkayo",,,"Galkayo",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","Yes",,,,,,,,,
"1995","Confirmed","Ali Boukerbache",,"Algeria",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Media-TV","Publisher / Owner","Culture,War","Television","Algeria","near Algiers",,,"near Algiers",,"Local","Unknown Fire","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"2006","Confirmed","Ali Jaafar",,"Iraq",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/ali_jaafar_iraq_2006.jpg","","Journalist",,"Murder","Killed","Staff","Al-Iraqiya","Broadcast Reporter","Sports","Television","Iraq","Baghdad",,,"Baghdad",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","Yes",,,,,,,,,
"2018","Confirmed","Ali Saleemi",,"Afghanistan",,,"Male",,,"Journalist","Killed","Murder","Killed","Staff","Mashal TV","Broadcast Reporter,Camera Operator","Politics,War","Television","Afghanistan","Kabul",,,"Kabul",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"2007","Confirmed","Ali Sharmarke",,"Somalia",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/ali_sharmarke_somalia_2007.jpg","","Journalist",,"Murder","Killed","Staff","HornAfrik","Publisher / Owner","War","Radio","Somalia","Mogadishu",,,"Mogadishu",,"Local","Political Group","Confirmed",,,"Partial Impunity","No","No","No",,,,,,,,,
"2007","Confirmed","Alisher Saipov",,"Kyrgyzstan",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/alisher_saipov_kyrgyzstan_2007.jpg","","Journalist",,"Murder","Killed","Staff","Siyosat","Broadcast Reporter,Editor,Internet Reporter,Print Reporter","Human Rights,Politics","Print,Radio,Internet","Kyrgyzstan","Osh",,,"Osh",,"Local","Government Officials","Confirmed",,,"Complete Impunity","No","No","Yes",,,,,,,,,
"2005","Confirmed","Allah Noor",,"Pakistan",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/allah_noor_pakistan_2005.jpg","","Journalist",,"Murder","Killed","Freelance","Khyber TV","Photographer","War","Print","Pakistan","Wana",,,"Wana",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"1996","Confirmed","Allaoua Ait M'barak",,"Algeria",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Le Soir d'Algérie","Print Reporter","War","Print","Algeria","Algiers",,,"Algiers",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
