"year","combinedStatus","fullName","sortName","primaryNationality","secondaryNationality","tertiaryNationality","gender","photoUrl","photoCredit","type","lastStatus","typeOfDeath","status","employedAs","organizations","jobs","coverage","mediums","country","location","region","state","locality","province","localOrForeign","sourcesOfFire","motiveConfirmed","accountabilityCrossfire","accountabilityAssignment","impunityMurder","tortured","captive","threatened","charges","motive","lengthOfSentence","healthProblems","impCountry","entry","sentenceDate","sentence","locationImprisoned"
"1999","Confirmed","Agus Muliawan",,"East Timor",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Asia Press International","Print Reporter","War","Print","East Timor","Baucau",,,"Baucau",,"Local","Paramilitary Group","Confirmed",,,,"No","No","No",,,,,,,,,
"2011","Confirmed","Ahmad Mohamed Mahmoud",,"Egypt",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Al-Ta'awun","Print Reporter","Politics","Print","Egypt","Cairo",,,"Cairo",,"Local","Unknown Fire","Confirmed",,,,"No","No","No",,,,,,,,,
"2013","Confirmed","Ahmed Abdel Gawad",,"Egypt",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Al-Akhbar, Misr25","Editor,Print Reporter","Human Rights,Politics","Print,Television","Egypt","Cairo",,,"Cairo",,"Local","Unknown Fire","Confirmed",,,,"No","No","No",,,,,,,,,
"2018","Confirmed","Ahmed Abu Hussein",,"Israel and the Occupied Palestinian Territory",,,"Male",,,"Journalist","Killed","Dangerous Assignment","Killed","Staff","Voice of the People Radio,Bisan News Agency","Photographer","Human Rights,Politics,War","Internet","Israel and the Occupied Palestinian Territory","Jabalia",,,"Jabalia","Northern Gaza","Local","Military Officials","Confirmed",,"No",,,,,,,,,,,,,
"2013","Confirmed","Ahmed Assem el-Senousy",,"Egypt",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Freedom and Justice","Photographer","Human Rights,Politics","Print,Internet","Egypt","Cairo",,,"Cairo",,"Local","Military Officials","Confirmed",,,,"No","No","No",,,,,,,,,
"2014","Confirmed","Ahmed Hasan Ahmed",,,,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Xinhua News Agency","Camera Operator,Photographer","Human Rights,Politics,War","Internet","Syria","Damascus",,,"Damascus",,"Foreign","Unknown Fire","Confirmed",,,,"No","No","No",,,,,,,,,
"2012","Confirmed","Ahmed Ismail Hassan",,"Bahrain",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Freelance","Freelance","Camera Operator","Human Rights,Politics","Internet","Bahrain","Salmabad",,,"Salmabad",,"Local","Paramilitary Group","Confirmed",,,,,,"No",,,,,,,,,
"2000","Confirmed","Ahmed Kafi Awale",,"Somalia",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Radio of the Somali People","Broadcast Reporter",,"Radio","Somalia","Mogadishu",,,"Mogadishu",,"Local","Criminal Group","Confirmed",,,,"No","No","No",,,,,,,,,
"2018","Confirmed","Aleksandr Rastorguyev",,"Russia",,,"Male","https://cpj-photos.s3.us-west-2.amazonaws.com/prod/AP_RasturgurovCap.jpg_75b5e8c0-3334-46e8-84e5-f108c0dab6ac.jpeg","AP Photo/Alexei Maishev","Journalist","Killed","Dangerous Assignment","Killed","Freelance","The Investigations Management Centre (TsUR)","Broadcast Reporter,Producer","Business,Corruption,Crime,Human Rights,Politics,War","Television","Central African Republic","Kémo",,,,"Kémo","Foreign","Criminal Group,Local Residents,Military Officials,Paramilitary Group,Political Group","Confirmed",,"No",,,,,,,,,,,,,
"1993","Confirmed","Aleksandr Sidelnikov",,"Russia",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/sidelnikov-russia.93.jpg","","Journalist",,"Dangerous Assignment","Killed","Staff","Lennauchfilm Studio","Camera Operator","Politics","Television","Russia","Moscow",,,"Moscow",,"Local","Military Officials","Confirmed",,,,"No","No","No",,,,,,,,,
"1993","Confirmed","Aleksandr Smirnov",,"Russia",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Molodyozhny Kuryer","Print Reporter","Politics","Print","Russia","Moscow",,,"Moscow",,"Local","Military Officials","Confirmed",,,,"No","No","No",,,,,,,,,
"2017","Confirmed","Ali Nur Siad",,"Somalia",,,"Male","https://cpj-photos.s3.amazonaws.com/Ali-Killed-2017-11-01-1509569705517.jpg","Bakar Hassan Abdi","Journalist","Killed","Dangerous Assignment","Killed","Freelance","Voice of America","Camera Operator","Politics,Culture,Human Rights,Sports,Business","Television","Somalia","Mogadishu",,,"Mogadishu",,"Local","Political Group","Confirmed",,"No",,,,,,,,,,,,,
"2015","Confirmed","Alison Parker",,"USA",,,"Female",,,"Journalist",,"Dangerous Assignment","Killed","Staff","WDBJ7","Broadcast Reporter","Business,Corruption,Crime,Culture,Human Rights,Politics,Sports","Television","USA","Smith Mountain Lake, Virginia",,,"Smith Mountain Lake, Virginia",,"Local","Local Residents","Confirmed",,,,,,,,,,,,,,,
"2011","Confirmed","Alwan al-Ghorabi",,"Iraq",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Afaq","Camera Operator","Politics","Television","Iraq","Diwaniyya",,,"Diwaniyya",,"Local","Political Group","Confirmed",,,,,,,,,,,,,,,
"2014","Confirmed","Anatoly Klyan",,,,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Pervy Kanal","Camera Operator","Politics,War","Television","Ukraine","Donetsk",,,"Donetsk",,"Foreign","Unknown Fire","Confirmed",,,,"No","No","No",,,,,,,,,
"2009","Confirmed","Ando Ratovonirina",,"Madagascar",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/Ratovonirina.Madagascar.2009.jpg","Photo by Mirindra Rabarivelo","Journalist",,"Dangerous Assignment","Killed","Staff","Radio Télévision Analamanga","Broadcast Reporter,Camera Operator","Politics","Television","Madagascar","Antananarivo",,,"Antananarivo",,"Local","Military Officials","Confirmed",,,,,,,,,,,,,,,
"2018","Confirmed","Ángel Eduardo Gahona",,"Nicaragua",,,"Male","https://cpj-photos.s3.amazonaws.com/Angel%20Gahona_Migueliuth%20Sandoval-2018-05-11-1526073358034.jpg","Migueliuth Sandoval","Journalist","Killed","Dangerous Assignment","Killed","Staff","El Meridiano","Broadcast Reporter,Internet Reporter,Producer","Business,Crime,Culture,Politics","Television,Internet","Nicaragua","Bluefields",,,"Bluefields",,"Local","Government Officials,Local Residents","Confirmed",,"No",,,,,,,,,,,,,
"2014","Confirmed","Anja Niedringhaus",,,,,"Female","https://cpj-photos.s3-us-west-2.amazonaws.com/anja.ap.jpg","AP","Journalist",,"Dangerous Assignment","Killed","Staff","The Associated Press","Photographer","Human Rights,War","Print,Internet","Afghanistan","Khost",,,"Khost",,"Foreign","Government Officials","Confirmed",,,,"No","No","No",,,,,,,,,
"2004","Confirmed","Antoine Massé",,"Ivory Coast",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Le Courrier d'Abidjan","Print Reporter","Human Rights","Print","Ivory Coast","Duékoué ",,,"Duékoué ",,"Local","Military Officials","Confirmed",,,,"No","No","No",,,,,,,,,
"1999","Confirmed","Anura Priyantha",,"Sri Lanka",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Independent Television Network","Technician","Politics","Television","Sri Lanka","Colombo",,,"Colombo",,"Local","Political Group","Confirmed",,,,"No","No","No",,,,,,,,,
"2011","Confirmed","Asfandyar Khan",,"Pakistan",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Akhbar-e-Khyber","Print Reporter","Crime,Politics","Print","Pakistan","Peshawar",,,"Peshawar",,"Local","Political Group","Confirmed",,,,"No","No","No",,,,,,,,,
"2008","Confirmed","Ashok Sodhi",,"India",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/ashok_sodhi_india_2008.jpg","","Journalist",,"Dangerous Assignment","Killed","Staff","Daily Excelsior","Photographer",,"Print","India","Samba",,,"Samba",,"Local","Political Group","Confirmed",,,,"No","No","No",,,,,,,,,
"2004","Confirmed","Asiya Jeelani",,"India",,,"Female",,,"Journalist",,"Dangerous Assignment","Killed","Freelance","freelance","Print Reporter","Human Rights","Print","India","Kashmir",,,"Kashmir",,"Local","Political Group","Confirmed",,,,"No","No","No",,,,,,,,,
"2013","Confirmed","Aslam Durrani",,"Pakistan",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Daily Pakistan","Editor","Politics","Print","Pakistan","Peshawar",,,"Peshawar",,"Local","Political Group","Confirmed",,,,,,,,,,,,,,,
"2012","Confirmed","Ayham Mostafa Ghazzoul",,"Syria",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Syrian Center for Media and Freedom of Expression","Broadcast Reporter","Human Rights,War","Internet","Syria","Damascus",,,"Damascus",,"Local","Political Group","Confirmed",,,,,,,,,,,,,,,
"2010","Confirmed","Azamat Ali Bangash",,"Pakistan",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Samaa TV","Broadcast Reporter,Internet Reporter",,"Television","Pakistan","Orakzai",,,"Orakzai",,"Local","Political Group","Confirmed",,,,"No","No","No",,,,,,,,,
"2011","Confirmed","Basil al-Sayed",,"Syria",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/al-sayed1.jpg","","Journalist",,"Dangerous Assignment","Killed","Freelance","Freelance","Camera Operator","Human Rights,Politics","Internet","Syria","Homs",,,"Homs",,"Local","Military Officials","Confirmed",,,,,,,,,,,,,,,
"2014","Confirmed","Bilal Ahmed Bilal",,"Syria",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/bilal.ahmed.bilal.facebook.jpg","Facebook","Journalist",,"Dangerous Assignment","Killed","Staff","Palestine Today TV","Broadcast Reporter,Producer","Human Rights,Politics,War","Television","Syria","Sednaya",,,"Sednaya",,"Local","Government Officials","Confirmed",,,,"Yes","No","No",,,,,,,,,
"2006","Confirmed","Bradley Will",,,,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/will.2.mexico.2006.jpg","AP","Journalist",,"Dangerous Assignment","Killed","Freelance","freelance","Camera Operator,Internet Reporter,Producer","Human Rights","Internet","Mexico","Santa Lucía del Camino",,,"Santa Lucía del Camino",,"Foreign","Government Officials","Confirmed",,,,"No","No","No",,,,,,,,,
"2014","Confirmed","Camille Lepage",,,,,"Female","https://cpj-photos.s3-us-west-2.amazonaws.com/camille.lepage.afp.jpg","(AFP)","Journalist",,"Dangerous Assignment","Killed","Freelance","Freelance","Photographer","Human Rights,War","Print,Internet","Central African Republic","Bouar Region","Bouar Region",,"Bouar Region",,"Foreign","Paramilitary Group","Confirmed",,,,"No","No","No",,,,,,,,,
"2010","Confirmed","Carlos Alberto Guajardo Romero",,"Mexico",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/Carlos%252520Alberto%252520Guajardo.jpg","(Expreso Matamoros)","Journalist",,"Dangerous Assignment","Killed","Staff","Expreso Matamoros","Print Reporter","Crime","Print","Mexico","Matamoros",,,"Matamoros",,"Local","Military Officials","Confirmed",,,,"No","No","No",,,,,,,,,
"2008","Confirmed","Carsten Thomassen",,,,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/carsten_thomassen_afghanistan_2008.jpg","","Journalist",,"Dangerous Assignment","Killed","Staff","Dagbladet","Print Reporter","Politics,War","Print","Afghanistan","Kabul",,,"Kabul",,"Foreign","Political Group","Confirmed",,,,"No","No","No",,,,,,,,,
"2008","Confirmed","Chalee Boonsawat",,"Thailand",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Thai Rath","Print Reporter","War","Print","Thailand","Sungai Kolok",,,"Sungai Kolok",,"Local","Political Group","Confirmed",,,,"No","No","No",,,,,,,,,
"1997","Confirmed","Chet Duong Daravuth",,"Cambodia",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Neak Prayuth","Print Reporter","Politics","Print","Cambodia","Phnom Penh",,,"Phnom Penh",,"Local","Political Group","Confirmed",,,,"No","No","No",,,,,,,,,
"1999","Confirmed","Conrad Roy",,"Sierra Leone",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Expo Times","Editor","Politics","Print","Sierra Leone","Freetown",,,"Freetown",,"Local","Military Officials","Confirmed",,,,"No","Yes","No",,,,,,,,,
"2012","Confirmed","Daudi Mwangosi",,"Tanzania",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/daudimwangosi.jpg","","Journalist",,"Dangerous Assignment","Killed","Staff","Channel Ten","Broadcast Reporter","Politics","Television","Tanzania","Iringa",,,"Iringa",,"Local","Military Officials","Confirmed",,,,"No","No","No",,,,,,,,,
"2005","Confirmed","Duniya Muhyadin Nur",,"Somalia",,,"Female",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Capital Voice","Broadcast Reporter","Human Rights","Radio","Somalia","Afgoye",,,"Afgoye",,"Local","Local Residents","Confirmed",,,,"No","No","No",,,,,,,,,
"2012","Confirmed","Dwijamani Singh",,"India",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Prime News","Broadcast Reporter,Camera Operator","Politics","Television","India","Imphal",,,"Imphal",,"Local","Government Officials","Confirmed",,,,"No","No","No",,,,,,,,,
"2010","Confirmed","Ejaz Raisani",,"Pakistan",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Samaa TV","Camera Operator","Politics","Television","Pakistan","Quetta",,,"Quetta",,"Local","Criminal Group, Mob Violence","Confirmed",,,,"No","No","No",,,,,,,,,
"2010","Confirmed","Ejazul Haq",,"Pakistan",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","City-42 TV","Broadcast Reporter,Technician","War","Television","Pakistan","Lahore",,,"Lahore",,"Local","Unknown Fire","Confirmed",,,,,,,,,,,,,,,
"2016","Confirmed","El-Hadj Mohamed Diallo ",,"Guinea",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Guinée7, Afrik","Internet Reporter","Politics","Internet","Guinea","Conakry",,,"Conakry",,"Local","Political Group","Confirmed",,,,"No","No","No",,,,,,,,,
"2010","Confirmed","Fabio Polenghi",,,,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/Polenghi.rtr1.jpg","Reuters","Journalist",,"Dangerous Assignment","Killed","Freelance","freelance","Photographer","Culture,War","Print","Thailand","Bangkok",,,"Bangkok",,"Foreign","Unknown Fire","Confirmed",,,,,,,,,,,,,,,
"2001","Confirmed","Fadila Nejma",,"Algeria",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Echourouk","Print Reporter","Human Rights","Print","Algeria","Algiers",,,"Algiers",,"Local","Political Group","Confirmed",,,,"No","No","No",,,,,,,,,
"2011","Confirmed","Ferzat Jarban",,"Syria",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Freelance","Freelance","Camera Operator","Politics","Television","Syria","Al-Qasir",,,"Al-Qasir",,"Local","Government Officials","Confirmed",,,,,,,,,,,,,,,
"2007","Confirmed","Fesshaye ""Joshua"" Yohannes",,"Eritrea",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/fesshaye_joshua_yohannes_eritrea_2007.jpg","","Journalist",,"Dangerous Assignment","Killed","Staff","Setit","Editor","Politics","Print","Eritrea","Unknown",,,"Unknown",,"Local","Government Officials","Confirmed",,,,"No","Yes","No",,,,,,,,,
"2014","Confirmed","Firas Mohammed Attiyah",,"Iraq",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/Firas-Mohammed-Attiyah200.jpg","(Photo courtesy of the family)","Journalist",,"Dangerous Assignment","Killed","Staff","Fallujah TV","Broadcast Reporter","Politics,War","Television","Iraq","Khalidiya",,,"Khalidiya",,"Local","Political Group","Confirmed",,,,"No","No","No",,,,,,,,,
"1997","Confirmed","G. Raja Sekhar",,"India",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Eenadu Television (E-TV)","Technician","Business,Culture","Television","India","Hyderabad",,,"Hyderabad",,"Local","Political Group","Confirmed",,,,"No","No","No",,,,,,,,,
"2011","Confirmed","Gelson Domingos da Silva",,"Brazil",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/domingosdasilva.jpg","AP","Journalist",,"Dangerous Assignment","Killed","Staff","Bandeirantes TV","Camera Operator","Crime","Television","Brazil","Rio de Janeiro",,,"Rio de Janeiro",,"Local","Unknown Fire","Confirmed",,"No","Complete Impunity","No","No","No",,,,,,,,,
"2010","Confirmed","Germain Cyrille Ngota Ngota",,"Cameroon",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/Cameroon.Ngota1.jpg","Le Jour","Journalist",,"Dangerous Assignment","Killed","Staff","Cameroon Express","Editor","Corruption,Politics","Print","Cameroon","Yaoundé",,,"Yaoundé",,"Local","Government Officials","Confirmed",,,,,,,,,,,,,,,
"2012","Confirmed","Gilles Jacquier",,,,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/Jacquier_rtrs.jpg","Reuters","Journalist",,"Dangerous Assignment","Killed","Staff","France 2","Broadcast Reporter","Human Rights,Politics","Television","Syria","Homs",,,"Homs",,"Foreign","Unknown Fire","Confirmed",,"No",,,,,,,,,,,,,
"2015","Confirmed","Guillaume Barreau-Decherf",,"France",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Freelance","Freelance","Print Reporter","Culture","Print","France","Paris",,,"Paris",,"Local","Political Group","Confirmed",,,,,,,,,,,,,,,
"2012","Confirmed","Guillermo Quiroz Delgado",,"Colombia",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Freelance","Freelance","Broadcast Reporter,Print Reporter","Politics","Print,Television","Colombia","Sincelejo",,,"Sincelejo",,"Local","Government Officials","Confirmed",,,,,,,,,,,,,,,
"2017","Confirmed","Habibollah Hosseinzadeh",,"Afghanistan",,,"Male",,,"Journalist","Killed","Dangerous Assignment","Killed","Staff","Press TV","Camera Operator","War","Television","Afghanistan","Kabul",,,"Kabul",,"Local","Political Group","Confirmed",,"No",,,,,,,,,,,,,
"2011","Confirmed","Hassan al-Wadhaf",,"Yemen",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Freelance","Arabic Media Agency","Camera Operator","Politics","Television","Yemen","Sana'a",,,"Sana'a",,"Local","Paramilitary Group","Confirmed",,,,,,"No",,,,,,,,,
"2008","Confirmed","Hassan Kafi Hared",,"Somalia",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Somali National News Agency","Internet Reporter,Print Reporter","Politics,War","Print,Internet","Somalia","Kismayo",,,"Kismayo",,"Local","Unknown Fire","Confirmed",,,,"No","No","No",,,,,,,,,
"2003","Confirmed","Héctor Ramírez",,"Guatemala",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Noti7 and Radio Sonora","Broadcast Reporter","Politics","Radio,Television","Guatemala","Guatemala City",,,"Guatemala City",,"Local","Mob Violence","Confirmed",,,,"No","No","No",,,,,,,,,
"2010","Confirmed","Hiro Muramoto",,,,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/Thai.Muramoto.4.12.110.jpg","Reuters","Journalist",,"Dangerous Assignment","Killed","Staff","Reuters","Camera Operator","Politics","Television,Internet","Thailand","Bangkok",,,"Bangkok",,"Foreign","Unknown Fire","Confirmed",,,,,,,,,,,,,,,
"2017","Confirmed","Hussain Nazari",,"Afghanistan",,,"Male",,,"Journalist","Killed","Dangerous Assignment","Killed","Staff","Rah-E-Farda Radio and Television","Camera Operator","Politics","Radio,Television","Afghanistan","Kabul",,,"Kabul",,"Local","Political Group","Confirmed",,"No",,,,,,,,,,,,,
"1993","Confirmed","Ibrahim Goskel",,,,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Freelance","Freelancer","Print Reporter","War","Print","Bosnia","Sarajevo",,,"Sarajevo",,"Foreign","Unknown Fire","Confirmed",,,,"No","No","No",,,,,,,,,
"1993","Confirmed","Igor Belozyorov",,"Russia",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Ostankino State Broadcasting Company","Producer","Politics","Television","Russia","Moscow",,,"Moscow",,"Local","Military Officials","Confirmed",,,,"No","No","No",,,,,,,,,
"2013","Confirmed","Imran Shaikh",,"Pakistan",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Samaa TV","Camera Operator","Crime,Human Rights,Politics","Television","Pakistan","Quetta",,,"Quetta",,"Local","Political Group","Confirmed",,,,"No","No","No",,,,,,,,,
"1999","Confirmed","Indika Pathinivasan",,"Sri Lanka",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Maharaja Television Network","Technician","Politics","Television","Sri Lanka","Colombo",,,"Colombo",,"Local","Unknown Fire","Confirmed",,,,"No","No","No",,,,,,,,,
"2002","Confirmed","Issam Tillawi",,"Israel and the Occupied Palestinian Territory",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Voice of Palestine","Broadcast Reporter","Human Rights","Radio","Israel and the Occupied Palestinian Territory","Ramallah",,,"Ramallah",,"Local","Military Officials","Confirmed",,,,"No","No","No",,,,,,,,,
"1992","Confirmed","Izzet Kezer",,"Turkey",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Sabah","Print Reporter","War","Print","Turkey","Cizre",,,"Cizre",,"Local","Military Officials","Confirmed",,,,"No","No","No",,,,,,,,,
"1997","Confirmed","Jagadish Babu",,"India",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Eenadu Television (E-TV)","Producer","Business,Culture","Television","India","Hyderabad",,,"Hyderabad",,"Local","Political Group","Confirmed",,,,"No","No","No",,,,,,,,,
"2011","Confirmed","Jamal al-Sharaabi",,"Yemen",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Al-Masdar","Photographer","Politics","Print","Yemen","Sana’a",,,"Sana’a",,"Local","Military Officials","Confirmed",,,,"No","No","No",,,,,,,,,
"2008","Confirmed","Javed Ahmed Mir",,"India",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Channel 9","Camera Operator","Politics","Television","India","Srinagar",,,"Srinagar",,"Local","Paramilitary Group","Confirmed",,,,"No","No","No",,,,,,,,,
"2007","Confirmed","Javed Khan",,"Pakistan",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Markaz and DM Digital TV","Photographer","Politics","Print,Television,Internet","Pakistan","Islamabad",,,"Islamabad",,"Local","Unknown Fire","Confirmed",,,,"No","No","No",,,,,,,,,
"2002","Confirmed","Jimmy Higenyi",,"Uganda",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","United Media Consultants and Trainers","Print Reporter","Human Rights","Print","Uganda","Kampala",,,"Kampala",,"Local","Military Officials","Confirmed",,,,"No","No","No",,,,,,,,,
"2009","Confirmed","Jojo Trajano",,"Philippines",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Remate","Print Reporter","Crime","Print","Philippines","Taytay Town",,,"Taytay Town",,"Local","Criminal Group","Confirmed",,,,"No","No","No",,,,,,,,,
"2002","Confirmed","Jorge Ibraín Tortoza Cruz",,"Venezuela",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","2001","Photographer","Human Rights","Print","Venezuela","Caracas",,,"Caracas",,"Local","Military Officials","Confirmed",,,,"No","No","No",,,,,,,,,
"2001","Confirmed","Juan Carlos Encinas",,"Bolivia",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Freelance","Freelancer","Print Reporter","Human Rights","Print","Bolivia","Catavi",,,"Catavi",,"Local","Political Group","Confirmed",,,,"No","No","No",,,,,,,,,
"2005","Confirmed","Julio Augusto García Romero",,"Ecuador",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","La Bocina and Punto de Vista","Photographer","Human Rights,Politics","Print","Ecuador","Quito",,,"Quito",,"Local","Military Officials","Confirmed",,,,"No","No","No",,,,,,,,,
"2011","Confirmed","Karim Fakhrawi",,"Bahrain",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/Karim%252520Fakhraw1i.jpg","","Journalist",,"Dangerous Assignment","Killed","Freelance","Al-Wasat","Publisher / Owner","Human Rights,Politics","Print","Bahrain","Manama",,,"Manama",,"Local","Government Officials","Confirmed",,,,,,,,,,,,,,,
